stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,56.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.7,33.64,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,20.75,0,0,0,0,0,0,0,0,0
  7-9,196.58,24.73,0,154.86,0,0,0,26.32,0,0,0,0,0,139.93,0,0,0,0,0,0,0,0,0,0,0,264.04,160.77,0,0,306.83,0,3.29,0,0,0,0,0,0,0
 10-12,4.89,7,0,142.85,0,13.85,0,24.49,0,0,0,0,0,26.33,0,0,0,0,0,5.32,0,0,0,0,0,420.38,104.94,0,0,74.41,0,0,19.44,0,0,0,0,0,0
 14-21,0,0,0,4.98,55.26,6.48,0,0,0,6.63,0,2.44,11.47,0,0,0,0,0,0,0,0,36.4,0,0,20.9,525.25,12.14,0,1.04,3.71,0,21.26,0.94,5.32,271.01,0,2.3,0,0
 24-34,0,0,1.35,2.64,26.67,0.78,0,3.1,0,15.41,1.84,6.56,0.64,0,8.62,0,1.61,0,0,0,0,56.12,0,0.82,9.27,1698.46,57.04,2.17,0,0,0,12.99,2.86,2.88,554.93,0,7.79,0,0
 36-46,0,0,0,0,29.75,0,0,22.78,0,23.88,1.09,15.15,0,0,2.33,0,1.57,0,0,0,0,86.59,0,1.91,17.18,949.03,100.13,0,0,0,0,7.79,1.03,0,432.09,0,0,0,4.81
 48-58,0,0,0,0,16.84,0,0,53.79,0.66,35.61,1.1,58.67,0,0,5.05,3.96,0.75,0,0,0,0,208.07,0,0,17.05,717.87,77.95,0.6,0,0,0,11.17,0,0,397.37,0,0,0.9,0
 60-70,0.96,0,0.57,0,19.96,0.74,0,75.33,0.93,36.19,1.75,166.01,0,0,24.78,0,0,0,0,0,2.53,412.64,0,10.17,21.12,693.35,71.24,0,3.71,0,1.74,7.58,0,0,175.32,3.22,0.68,1.77,10.63
 72-82,0,0,0,0,10.8,1.45,2.97,142.13,0,44.69,11.07,276.02,1.45,0,10.35,3.37,2.4,0,0,2.73,0,572.01,0,13.99,15.33,689.21,46.85,0.49,6.21,0,12.59,0,0,0,269.14,24.88,3.84,18.28,0
 84-94,0,0,0,0,31.99,14.09,0,163.99,0.79,105.53,1.2,198.27,0,0,4.03,4.97,0,1,2.93,0,0,482.37,0,16.54,13.29,591.2,91.53,0,0,0,6.18,7.31,0,0,184.42,6.37,0,24.13,0
 96-106,0,0,0.91,0,37.62,17.75,0.61,118.84,1.98,74.57,4.57,425.2,1.5,0,12.13,4.03,1.89,1.04,0,12.73,0,461.5,0,34.52,17.54,547.21,47.25,0.59,0,0,17.66,6.29,0.69,0,331.32,47.14,0,11.36,0
108-118,0,0,0,0,56.25,1.34,2.84,158.69,0,144.28,2.75,427.21,0,0,5.59,0.52,0.65,0.65,0.41,0,0,593.46,1.14,9.84,16.17,631.64,55.37,0.52,0,0,61.23,7.18,0,0,138.87,10.66,0,14.14,0
120,0,0,0,0,90.34,0,0,92.63,0,85.89,0,484.59,0,0,2.09,0,0,0,0,13.95,0,484.34,3.43,88.74,12.64,741.31,97.34,0,0,0,61.64,0,0,0,121.24,14.56,0,0,0
