stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,657.21,10002.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.5,0,0,0,0,0,0,0,0,0,0
  5-6,1637.66,15043.49,28.53,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,412.11,10.41,0,0,44.14,194.15,0,0,0,0,0,0,0,0,0,0
  7-9,237.69,398.6,762.03,0,17.91,1470.69,0,0,0,549.09,0,0,0,0,0,0,0,0,0,0,0,15605.66,223.73,0,0,6008.45,28.61,65.69,0,0,0,0,0,0,0,0,0
 10-12,0,232.92,261.76,0,20.26,759.86,0,0,0,126.2,0,0,0,0,0,0,0,0,0,0,0,8317.04,125.01,0,0,2606.47,10.9,26.85,15.67,153.78,0,14.9,3.51,0,0,0,0
 14-21,0,0,0,74.55,7.21,16.37,0,4.94,0,4.01,0,0,0.8,0,0,0,1.07,25.04,0,0,24.59,212.88,11.91,1.94,1.84,1.89,12.3,0,14.52,2.67,4.76,24.59,51.44,0,0,0,0
 24-34,0,0,0.62,6.76,5.81,152.07,2.48,11.61,0,0,0,0,0,0.63,1.53,0,0,66.51,6.69,0.81,14.06,827.14,1.7,6.07,10.84,0,12.48,0,0,0,0,3.03,167.33,0,9.57,0,0
 36-46,0,0,1.13,10.7,2.74,364.27,3.52,14.72,0,0,0.75,0,0,0,0.57,1.74,0,69.42,0,0.8,7.75,786.79,1.75,3.53,2.56,0,6.44,0,0,0,0,0,108.35,0,2.72,0,1.02
 48-58,0,0,0,8.3,3.91,314.47,3.27,24.37,0,0,0,0.4,0,4.67,2.01,0,0,47.14,0,0.83,7.01,280.29,1.2,0,10.38,0,7.89,0,0,0,0,0,21.87,0,12.77,0,2.77
 60-70,0,0,0,11.67,2.84,344.13,0,6.03,0.71,0,0,0.72,0,0,1.66,0,0,63.77,0,1.71,7.18,198.51,1.83,0,2.13,0,2.89,0,0,4.44,0,0,3.36,0,3.17,0.73,0
 72-82,0,0,0,4.49,2.65,50.61,0,5.13,0,0,1.05,2.18,0,2.99,0,0,0,20.43,0,0,2.54,71.58,0,1.29,1.35,0,0,0,0,0,0,0,0.61,0,1.73,0,0
 84-94,0,0,1.01,3.79,8.3,48.96,0,10.56,0.76,0,0,0.64,1,0.75,0,4.47,0,53.87,0,1.81,5.52,54.54,0,0,0,0,0.56,0,0,0,0,0,0.95,1.49,4.66,0,0
 96-106,0,0,0,5,13.57,22.24,0,0,1.43,0,0,0.58,0,0,0,0,0,5.94,0,2.47,0,22.61,0,0,6.91,0,0,0,0,0,0,0,0,0,1.81,0,0
108-118,0,0,0,2.44,2.01,33.12,0,8.96,0,0,1.61,0.49,0,0,0.87,0,0,12.59,0,0,5.18,29.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,5.06,1.14,26.76,0,6.53,0,0,0,2.29,1.4,0,0,0,0,9.04,1.05,0,1.04,64.84,0,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0
