stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,40.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,246.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.25,0,4.06,0,0,0,0,0,0,0,0,38.76,5.05,0,0,0,0,0,0
 10-12,0,0,4.6,0,0,0,0,0,0,0,0,13.27,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.82,0,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,0.85,0,1.8,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.18,0,0.59,0,0,0,0,0,0,0,0
 48-58,0,0,1.22,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.6,0,0,1.02,0,0,0,0,0,0,0
 72-82,0,0,0.87,0,0,0,0,0,1.03,0,0,1.9,0,0.53,0,0,0,0,8.23
 84-94,0,0,4.12,2.27,0.75,1.9,0,0,0,0,0,0,0,2.9,0,0,0,0,0
 96-106,0,0,0,0,0,1.5,1.31,0,0,0,0,0.62,0,0.9,0,0,0,0,0
108-118,0,0.47,0,0.48,0,0,0,0,0,2.33,0,4.58,0,0,0,0,3.03,1.49,0
120,0,17.04,0,0,0,4.01,1.4,4.15,0,0,0,2.72,0,3.9,1.56,0,0,0,0
