stage,epidermis,eye,hatching.gland,neural,olfactory,paraxial.mesoderm
  7-9,0,3.45,22.93,0,0,0
 10-12,0,0,35.62,5.37,0,6.33
 14-21,0,0,8.13,4.92,1.74,0
 24-34,0.7,0.6,6.26,0.77,0,0
 36-46,0,0,1.08,0,0,0
