stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,11.99,433.56,0,0,0,0,0,0,0,0,0,0,42.94,0,0,0,0
  5-6,25.5,265.05,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0
  7-9,9.43,5.97,7.57,0,0,5.18,0,0,0,76.99,5.59,4.39,0,0,0,0,0
 10-12,0,0,0,0,7.97,8.6,0,0,0,82.8,0,72.56,0,11.42,0,0,0
 14-21,0,0,0,1.06,0,2.33,0,0,0,2.89,0,0,0,0,2.01,2.02,0
 24-34,0,0,0.84,0,0,0,0,0,0,5.27,0,0,0,0.7,0,0,0
 36-46,0,0,0,0,0,0.92,0,0,0,7.97,0.57,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.2,0,0,0,5.57,0,0,0,0,0,0.75,0
 60-70,0,0,0,0,0,3.5,0,0,0,0.66,0,0,0,0,0,0,0.75
 72-82,0,0,0,0,0,0,0,0,1.26,1.84,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.64,0,0.92,0,0.93,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.75,0,0,0,1.79,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,3.27,0.45,0,1.98,0,0,0,0,0,0,0
120,0,0,0,0,0,0,18.28,0,0,16.08,0,0,0,0,0,0,0
