stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,1134.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.91,512.79,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,60.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.61,0,0,0,0,3.41,0,0,0,0,0,0,0,120.75,8.25,0,0,85.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.45,0,0,0,0,50.86,0,0,0,0,0,0,0,49.61,0,0,0,71.72,0,0,0,0,0,9.94,0,0
 14-21,0,0,0,1.15,42.33,0,15.91,0,0,0,0,17.18,0,0,0,0,0,0,0,35.54,0,0,0,0,0,1.26,2.08,0,1.3,4.17,1.21,0
 24-34,0,0,0,0.79,5.57,0,39.92,0,0,0,0,2.48,0,0.81,0,0,0,0,1.19,24.99,0,0,0,0,0.89,0,0,0,1.16,2.79,3.76,0
 36-46,0,0,0,0,0.73,0,34.45,0,1.09,0,0,0,0,0,0,0,0,0,0,14.47,0.57,0.83,0.67,0,0,0.81,0,0,0,0.91,0.64,0
 48-58,0,0,0,0,2.36,0,14.57,0,0,0,0,0,0,0.49,0,0.39,1.97,0,0.38,10.15,0,0,0,0,0.51,0,0,0,0,0,1.77,0
 60-70,0,0,0,0,0,0.59,27.57,0,0,0.76,0,0,0,0.92,0,1.85,1.85,0,0,3.3,0,0,0,0,0,0,0,0,0,0,1.72,0
 72-82,0,0,0,0,0,3.04,16.35,0,0,0.87,0,0,0,0.5,0,0.5,2.77,0,0,10.26,0,1.39,0,0,0,0,0,2.9,0,0,0.98,0
 84-94,0,0,0.74,1.02,2.18,10.01,22.3,0,0,0,0.76,0,0.93,1.45,3.7,1.28,2.14,0,1.6,25.14,0,0,0,0,0,0,0,2.26,0,0,1.86,0
 96-106,0,0,0,1.37,1.36,11.18,12.54,0.57,0,0,0,0,3.02,0,0,0,9.18,0,0,5.37,0,2.74,0.91,0,0,0,0,0,0,0,0,5.06
108-118,0,0,0,1.1,12.99,67.95,12.82,0,0,2.91,5.95,0,0.54,3.27,0,0,2.58,0,0,13.69,0,0.6,1.68,0,0,0,0,0,0,0,0,1.77
120,0,0,0,1.66,12.14,10.92,7.71,0,0,0,0,0,3.84,0,0,0,3,2.33,3.79,15.5,0,0,0,0,1.32,0,0,4.24,0,0,0,0
