stage,endocrine.pancreas,eye,iridophores,liver,melanocytes,mesenchyme,mural.cell,neural,olfactory,spinal.cord,vasculature,xanthophores
 14-21,0,1.43,0,0,0,0,0,0,0,0,0,0
 24-34,0,25.1,0,0.73,19.25,0.84,0,5.89,0,0,0,3.83
 36-46,0,43.97,0,0,116.62,0,0,1.36,0,1.93,0,22.15
 48-58,0,68.08,0,0,37.11,0.46,0,0.93,0.84,0.4,0,17.45
 60-70,0,39.83,6.72,0,41.38,0,0,0,0,0,0,19.49
 72-82,0,38.67,0,3.06,41.27,0,0,5.93,0,0,0,2.09
 84-94,0,27.15,0,0,27.63,0.57,0,6.03,0,0,1.99,9.74
 96-106,0,19.04,0,0,1.39,0,0,0,0,0,0,5.75
108-118,0.93,20.63,0.41,0,20.55,0,0,0,0,0,0,1.03
120,0,14,0,0,24.92,0,8.3,22.42,0,0,0,4.65
