stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,35.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0
 10-12,0,5.28,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.87,7.39,1.08,19.36,0,0,0,0.84,0.92,0,0,0,2.09,0,0,0,12.52,0,0,0,0,0,1.18,0,5.24,0,0,0
 24-34,0,0,0.8,0,0.82,0,105.33,0,0,0,0,8.52,0,0,0,3.69,0,0,0,63.53,0,0,0,0,0,0,1.48,8.08,0,0,0
 36-46,0,0,0,0,0,0,144.81,0,0,0,0,1.93,0,0,0,3.66,0,0,0,94.9,0,0,0,0,0,0,0,4.59,0,0,0
 48-58,0,0,0,0,1.89,0,252.82,0,4.85,0,1.06,0.51,0,3.18,0,4.76,1.11,0.45,0,86.63,0,0,0,0,0,0,0,75.75,1.7,0,1.15
 60-70,0,0,0,0,0,0,366.45,0,0,0,0.89,0,0,6.36,0,4.33,0,0,3.07,71.72,0,0,0,0,3.76,0,0,39.9,0,0,0
 72-82,0,0,0,0,0,0,378.89,0,0,0,5.8,0,0,0,0,5.75,0,0,2.69,39.68,0,2.28,0,0,0,0,0,54.66,0,0,0.63
 84-94,0,0,0,0,0,0,319.93,0,0,0,41.85,0,0,6.19,0,2.34,0,1.23,0,43.49,0,3.43,0,0,1.13,0,0,18.82,0,0,0
 96-106,0,0,0,0,2.82,0,401.89,0,0,1.54,28.93,0,0.8,1.18,0,10.81,0,0,0.67,25.11,0,1.8,0,1.01,0,0,0,16.51,0,0,0
108-118,0,0,0,0,1.29,1.47,391.39,0.67,0,0,32.26,0,0.52,6.17,1.5,2.76,0,4.04,0,34.06,0,0,0,0,0,0,0,13.77,0,0.49,0
120,0,0,0,0,1.27,10.42,456.83,0,0,0,36.4,0,1.88,0,0,4.52,2.91,0,1.25,49.63,0,0,0,0,0,0,0,2.03,0,0,0
