stage,endocrine.pancreas,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97,0,0,0
 14-21,1.93,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,6.67,0
 24-34,0.97,0,0,0,0,0,0,0,0,0,0,57.96,0.84,1.24,0,0,17.21,0
 36-46,0,0,4.43,0,0,0,0,0,0,0,0,109.41,0,0,0,0,6.88,0
 48-58,0,0.94,23.88,0,0,0,0,0,0.38,0,0,135.18,0,0,0,0,15.64,0
 60-70,0,0,134.56,2.7,0,9.57,1.69,0,0,0,0,152.14,1.17,0.62,0,0,27.56,0
 72-82,0,0.54,131.27,0,0,0,0,0,0.84,0,0,110.29,0,0,0,0,15.83,0.66
 84-94,0,0,85.83,1.34,1.31,0,0,0,1.01,0,0,107.36,1.95,0.57,0,0,17.22,0
 96-106,0,0,113.74,3.37,0,0,0,0,1.67,0,1.42,70.94,0,10.95,0,1.55,0,0
108-118,0,1.19,76.06,0,0,0,0,0.56,0.99,0,0,75.17,0,6.46,0,0,0,0
120,0,0,37.66,2.63,0,0,0,0,0,4.29,0,145.84,0,10.9,0,0,8.98,0
