stage,eye,glial,mesenchyme,neural,presomitic.mesoderm,spinal.cord
 14-21,0,0,0,2.26,1.14,0
 24-34,0,0.75,0.73,4.06,0,2.52
 36-46,1.56,0,0,2.06,0,0
 48-58,2.18,0.87,0.56,0.88,0,0
 60-70,1.88,0,1.98,6.17,0,0
 72-82,0,0,0,1.79,0,0
 96-106,0,0,0,2.33,0,0
108-118,0,1.58,0,1.37,0,0
120,2.46,0,0,0,0,0
