stage,blastomeres,endoderm,eye,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,15.35,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.51,0,0,0,0,8.36,11.77,0,0,0
 10-12,0,0,0,0,0,0,24.28,4.22,0,0,5.32
 14-21,0,0,0,1.08,0,0,3.6,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0.6,1.09
 36-46,0,0,0,0,2.13,0,0,0,0,0,0
 48-58,0,0,0,0,0.79,0,9.78,0,0,0,0
 60-70,0,0,1.39,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.44,0.59,0,0,0,0,2.32
 84-94,0,0,0,0,1.12,0,8.64,0,0,0,0
108-118,0,0,0.44,0,0,0,0,0,0.67,0,0
