stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.78,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,10.18,0,0,0,0,0,0,0,0
 10-12,0,3.84,0,8.07,0,19.65,0,0,0,0,0,0,0,0,0,0,0,0,36.19,16.5,0,0,18.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.37,2.6,0,0,3.22,1.42,0,0,0,0,0,16.67,0,4.26,30.04,0,0,0,0.82,0,2.46,0.85,13.25,0,0,1.88,0
 24-34,0,0,0,0,0,1.22,0,0,2.82,0,0,0.72,0,0,1.1,27.82,0.69,8.26,54.73,0,0,2.6,0,0,0,0,22.67,0,0,2.85,0
 36-46,0,0,0,0,0.91,19.25,0,0,1.7,0,2.25,0,0,0,0,26.55,1.12,3.74,84.13,2.01,0,1.46,0,2.85,0,0,19.25,0,0,4.48,0
 48-58,0.77,0,0,0,0,10.2,0,0.45,6.64,0,0,0,0,0,0,41.24,1.61,2.13,75.4,0,0,1.11,0,0,0,0,11.29,0,1.01,1.68,0
 60-70,0,0,10.54,0,0,55.42,0,0,3.47,0,0,0,0,0,0,69.52,6.08,1.48,90.94,0,10.49,1.39,0,0,0,0,2.12,0,2.13,0.68,0.94
 72-82,0,0,0,0,0.69,81.14,0,0,6.19,0,0,0,0,0,0,83.78,10.84,2.99,125.2,0,0,6.27,0,0.8,0,0,6.93,0,4.64,10.64,3.41
 84-94,0,0,0,0,9.27,84.06,0,0,9.04,0.68,0,0,2.28,0.64,0,61.65,8.77,6.72,75.26,0,0,1.79,0,0,0,0,22.1,0,1.96,30.51,0
 96-106,0,0,0,0,1.69,100.8,1.1,2.65,10.2,0,0,0,0,0.71,0,74.15,8.69,3.62,62.24,0,0,3.85,0,2.01,0,0,0,0,1.48,8.29,0
108-118,0,0,0,0,3.91,62.13,0,0.88,15.94,0,0,0,0.86,0.49,0,78.37,11.74,2.87,83.87,0,2.16,1.23,0,0,0.58,0,4.5,1.01,2.38,10.77,1.88
120,0,0,0,0,0,53.77,0,0,26.7,0,0,0,0,0,0,106.56,28.98,0,111.89,0,0,0,0,2.76,0,0,0,0,2.71,20.45,0
