stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.87,120.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.98,151.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.73,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.54,0,0,8.22,0,0,0,50.29,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,239.46,14.55,0,0,122.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.22,0,0,0,10.1,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,260.27,0,0,0,79.61,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,5.91,4.12,1.35,0,2.02,0,0,0,2.81,0,0,0,0,0,0,0,0,0,6.1,0,0.98,51.14,2.04,7.51,0,0.83,0,0,4.98,0,0,2.96,22.4,0,0,1.02,0,0
 24-34,0,0,0,0,8.68,0.91,0,0,0,0,0,0.83,0,0,0.68,0,0,0,0,0,0.63,10.45,0,4.05,179.32,1.13,25.09,0,0,0,0,0,0,0,0,42.82,0,0,0,0,0
 36-46,0,0,0,0,2.49,0,0,6.85,0,0,0,8.48,0,0,0,0,0,0,0,1.21,0,11.78,0,6.09,345.72,0,115.71,0,0,0,0,0,0,0,0,80.3,0,0,0,0,0
 48-58,0,0,0,0,4.08,0,0,23.75,0,0.46,0,10.3,0,0,0,0,0,0.97,0.97,0,0,15.75,0.87,5.66,456.85,0,58.99,2.86,0,0.39,1.8,0,0,0,0,90.42,0,0,1.05,0.5,4.94
 60-70,0,0,0,0,2.6,0,0,50.53,0,0.89,0.71,29.63,0,0,0,0,0,0,0.65,0,0,38.31,0.89,0,767.57,0,37.09,0,0,0,3.75,0,0,0,0,314.31,0,0.94,3.94,0,0
 72-82,0,0,0.54,0,4.33,0,0,73.63,0.75,0,0,29.25,0,0.52,2.27,0,0,1.57,0,0,0.5,98.21,1.28,8.19,789.11,0,138.69,1.34,0,0,6.89,0,0,0,0,262.21,0,0,1.09,0,1.71
 84-94,0,0,3.63,0,5.55,0,0,87.23,0,1.96,0,23.23,0,0,1.22,0.63,0,0.68,2.7,0,0,78.35,0,13.19,570.02,0.65,193.73,4.61,0,0,10.68,0,0,0,0,179.36,1.14,0,0,1.74,0
 96-106,0,0,1.56,0,15.27,0,0,43.45,0.62,2.87,1.04,35.25,1.4,0,4.84,1.07,1.4,0,1,0,0,138.2,1.43,10.09,392.65,0,441.8,4.38,0,0,11.75,0,0,0,0,123.38,0,0,0.87,5.5,0.85
108-118,0,0,0,0,8.87,0,0,61.3,0,1.18,3.02,18.65,0,0,1.7,1.74,0.45,0.5,2.67,0,0.89,135.85,2.15,4.78,677.19,1.5,177.05,3.88,0,0,4.53,0,0.54,0.69,0,88.8,0,2.07,0.48,5.54,0
120,0,0,3.64,0,47.13,2.74,2.19,87.5,0,7.54,0,21.24,8.73,0,0,0,0,4.95,0,0,0,134.87,11.56,1.57,827.79,2.55,96.35,21.45,0,0,11.2,0,0,1.21,0,87.47,0,0,0,0,0
