stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,340.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,169.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.88,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,37.63,11.23,0,21.72,0,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,33.66,0,0,2.1,0,7.21,0,23.16,0,22.15,10.55,2.87,0,0,0,0,0,21.79,0,1.91,76.69,5.29,0,25.15,0
 24-34,0,0,0,0,14.63,0,0,1.24,3.11,13.42,0,65.84,0,60.57,13.5,9.12,0,0,0,0,0,0,0.83,0,3.82,4.2,0,126.67,0
 36-46,0,0,0,0,0,0.79,3.36,4.27,4.83,18.71,0,104.48,1.76,21.51,12.43,11.36,1.31,0,0,0,0,4.14,0,0,0,4.57,0,73.61,0
 48-58,0,0,0,0,0,3.3,2.7,10.33,1.12,7.37,0.4,78.07,0,6.17,10.03,8.22,0,0,0,0,0,0,0,0,0,4.91,0,63.64,0
 60-70,0,0,0,0,0,2.93,1.97,7.49,1.74,11.91,0,77.83,0,1.31,10.76,1.13,0,0,0,0,0,0,0,0,0,0,0,45.15,0
 72-82,0,0,0.75,2.05,0,2.58,1.23,6.61,3.69,7.03,2.36,165.37,1.43,5.7,16.16,0.53,0,0,3.01,0,0,0,0,0,0,0.87,0,79.99,8.59
 84-94,0,0,0,0,0,10.87,1.46,6.77,0,23.72,1.72,105.17,1.5,5.88,11,2.19,0.79,0,3.96,0,0,0,0,0,0,0,1.96,77.78,3.28
 96-106,0,0,0,0,0,6.62,0.92,8.01,2.57,15.72,1.83,123.99,0,7.56,14.12,0.66,0,0,7.5,1.81,0,0,0,0,0,1.3,1.65,85.11,1.58
108-118,0,0,0,0,0,1.22,2.85,9.59,0,16.5,1.24,94.62,6.39,7.54,16.91,4.62,0,0,5.63,0,0,0,0,0,0,0,0,80.9,1.69
120,0,0,0,0,0,0,11.17,4.2,3.84,33.89,2.12,57.9,0,9.05,26.4,14.85,0,0,1.79,0,0,0,0,0,0,0,0,111.48,3.93
