stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.18,32.74,3.53,3.18,0,0,0,2.31,0,0,0,7.33,0.88,0.87,0,0,0,6.26,0,0,1.21,108.21,0.92,0,0,0,0,8.05,0,2.55,45.62,0,0,0,0,0
 24-34,0,1.26,0.62,6.08,0,7.68,0,2.52,0,0,0,0,0,24.41,0,0,0.93,0,0,9.84,0,0,5.33,259.19,1.32,2.44,0,0,0,0,0,0.75,44.89,0,0,14.13,0,0
 36-46,0,0,0,4,13.46,32.87,0,9.01,0,3.55,0,1.6,1.7,54.41,0,0,0,0,1.46,11.86,0,0,2.82,335.92,1.14,1.01,0,0,0,0,0,0,54.59,0,0,9.58,0,3.46
 48-58,0,0,0,3.85,0,76.17,1.02,1.9,0.4,11.03,0.49,1.41,0,48.42,0,0,0.58,0,0.58,25.74,0.97,0,2.71,188.46,3.04,0.67,3.66,0,0,0,0,0,51.64,0,0,17.92,0,0.94
 60-70,0,0,0,1.53,0,60.69,0,0.79,0.72,14.64,1.77,0,1.63,78.94,0,7.3,0,1.41,0,28.93,1.27,1.51,2.85,150.67,3.89,1.42,0,3.09,0,0,0.6,0,31.58,0,1.9,5.83,0,0.7
 72-82,0,1.9,0,2.67,0,107.2,0,0.74,4.26,7.19,3.27,0,0,88.37,0,2.41,1.56,0,0,18.08,0.75,1.04,2.05,76.13,7.35,3.81,0,1.1,0,0,0,0,8.41,1.69,0.5,33.3,0.89,0.82
 84-94,0,0,0,5.84,0.57,99.08,1.34,7.12,0,3.52,1.83,0,0.78,117.21,0.58,4.68,2.26,0.83,0.83,33.03,0,1.31,1.48,63.59,0,2.63,0,7.2,2.49,0,0,0,3.9,2.89,1.28,8.49,0,3.1
 96-106,0,1.04,0,1.34,7.85,65.15,1.77,4.02,0,26.42,1.04,0,0,135.01,0,0,2.32,0.87,0,40.55,2.03,0,8.67,43.38,1.42,1.94,0,0,0,0,0,0,5.14,2.04,4.56,17.63,3.35,9.35
108-118,0,0.62,0,26.95,2.48,67.1,0,5.9,0.43,12.78,7.74,0,0.92,157.72,0.73,12.22,3.44,0,3.79,71.79,2.77,3.01,1.05,67.24,0.6,1.95,0,1.57,0.83,0,0,0,0.96,1.26,1.23,9.53,2.2,1.76
120,0,0,0,15.69,1.22,38.49,0,0,0,18.73,3.45,0,0,173.42,0,4.65,0,0,7.72,78.78,0,0,7.47,28.91,0,2.92,0,0,0,0,0,0,0,1.89,0,2.83,0,0
