stage,blastomeres,epidermis,eye,liver,neural,otic,paraxial_mesoderm,spinal_cord,xanthophores
  3-4,92.8,0,0,0,0,0,0,0,0
  5-6,16.66,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.4,0,0
 10-12,0,0,0,0,0,0,6.2,0,0
 24-34,0,0,0,0,3.93,0,0,0,0
 36-46,0,0,0,0,16.51,0,0,0,0
 48-58,0,0,0,0,7.49,0,0,1.54,0
 60-70,0,0,4.62,0,21.5,0,0,0,0
 72-82,0,0,0,0,12.18,0.5,0,0,0
 84-94,0,0,0,0,0.93,0,0,0,0
 96-106,0,0.77,0,1.54,0.97,0,0,0,0
108-118,0,0,0,0,3.9,0,0,0,0.97
120,0,0,0,0,34.9,0,0,0,0
