stage,blastomeres,epidermis,eye,fin_epithelia,gut,ionocyte,lateral_line,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste
  3-4,11.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.07,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.03,3.44,0,0,6.27,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,0,2.85,0,0,58.45,0,0,0
 36-46,0,0.9,0,0,0,0,0,0,0.9,0,0,0,166.08,0,0,0
 48-58,0,0,0.48,0,0,0,0,0,0,1.74,0,0,57.5,0,0,0
 60-70,0,0,1.33,0,0,0,0,0,0,1.83,0,0,75.17,0,0,0
 72-82,0,2.26,0,0,0,0,0,0,0,0,0,0,37.07,0,4.42,0
 84-94,0,3.69,0,0,0,0,0,0,0,0,0,2,166.24,0.74,2.91,0
 96-106,0,3.21,0,3,0,0.94,1.3,0,0,1.98,0,0,121.83,0,1.9,0
108-118,0,2.79,1.09,0.56,0.43,1.02,0,0.53,0,6.41,0,0.57,101.69,0,0,1.25
120,0,6.95,0,3.39,1.29,1.77,0,0,0,0,0,0,55.96,0,0,0
