stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,296.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99,0,0,0,0,0,0,0,0,0,0
  5-6,208.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.54,0,0,11.14,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,219.07,0,0,0,47.93,0,6.2,0,0,0,0,0,0,0,0,0
 10-12,6.18,0,28.26,0,6.14,26.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.33,6.58,0,0,31.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,5.47,1.71,4.38,0,0,0,0.95,0,0,2.74,0,0,0,0,0,0,1.2,0,0,5.71,38.63,0.8,0.92,0,0.99,0,0,5.26,0,0,0.98,10.78,0,0,0,0
 24-34,0,0.75,0.82,1.49,0,33.44,0,0,0,5.39,0,0,0,0,0.72,0,1.45,1.68,0,5.62,0,0,1.95,131.27,0,0,0,0,3.43,0,0,1.06,0,0,26.58,0,2.77,0,0
 36-46,0,0,0,2.51,0,88.27,0,0,0,8.22,0,0,0,0,0,0,0,0,0,11.68,0,1.26,0.85,182.64,0,1.97,0.57,0,12.04,0,0,12.21,0,0,26.65,0,1.94,0,0
 48-58,0,0,0,3.83,0,603.02,0,0,0,9.62,0,0.57,0,2.85,0,0,0,0,0,14.75,0.52,0,2.92,184.02,0,0.86,0,0,2.66,0,0,7.74,0,0,28.89,0,1.91,0,3.41
 60-70,0,0,0,2.19,1.18,2888.29,0,5.19,0,5,0,0,0,0,0,0,0,0,0,18.51,0,8.02,3.31,144,9.72,9.14,0,0,5.48,0,0,30.51,0,0,26.71,0,1.43,0,15.36
 72-82,0,0,0,9.92,18.11,3943.36,0,3.86,1.36,25.47,0,0,0,0,0.65,6.42,0,0,0,26.59,1.23,0,4.73,137.92,0,1.06,0.52,0,1.52,0,0,13.15,0,0,11.45,6.97,0.7,1.19,5.48
 84-94,0,0,0,14.14,7.27,4526.63,0,0.95,1.21,27.03,0.76,0.64,0,2.86,0.83,1.9,0,0,0,34.83,0,4.94,2.03,121.44,0,4.81,1.51,0,13.65,0,0,3.58,0,0,4.45,0,2.6,4.8,2.78
 96-106,0,0,0,5.44,5.87,2643.72,1.02,0,1.71,8.54,0.62,0,0,1.57,0,2.22,1.08,1.56,0.69,20.57,1.95,0,1.08,97.68,0,0.59,4.23,0,1.45,0,0,1.16,1.19,0,0,0,10.89,0,2.47
108-118,0,0.57,0,15.11,19.6,2199.8,0,1.84,0,19.93,0,0,0,1.38,0.9,1.65,0,0.97,0,8.26,0,0,0,103.97,2.35,8.07,1.7,0,2.7,0,0,3.99,0,0,1.79,0,2.49,0.57,0
120,0,0,0,8.13,1.89,2242.78,0,0,0,11.78,1.85,0,0,0,0,0,0,1.01,1.79,19.27,0,0,0,122.81,3.77,17.45,0,0,11.56,0,0,5.92,0,0,14.95,3.03,0,0,14.25
