stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,20.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,4.43,0,0,0,0,0
 14-21,0,0,2.63,0,0,0,0,0,0,1.69,0,0,1.02,0,7.08,0,0,0,0,1.1,0,0,0,0
 24-34,0,0,0,0,0.61,0,0.76,0,0,8.96,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0
 36-46,0,0,8.56,0,2.2,0,0,0,0,1.47,0,0,0,0,25.08,0,0,0,0,0,1.54,0,0,0
 48-58,0,0,0,0,4.56,0,0.41,0,0,0,0,0,7.7,0,6.47,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,45.72,0,0,0,0,0,0,0,1.97,0,8.15,1.43,0,0,0,0,3.7,0,0,0
 72-82,0,0,3.59,0,147.5,1.62,1.79,0,0,0,0,0,3.55,0,15.49,0,0.76,0,0,0,1.56,2.33,0,0
 84-94,0,0,0.58,0,187.66,0,0,0,0,0.65,0,1.78,3.56,1.08,5.3,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.02,7.47,242.27,0,0.56,0,0,0.92,0,0,0.78,0,3.33,0,0,5.04,0,0,0,0,0,10.54
108-118,0,0,0,0,157.98,0,0,0.96,0.84,0.75,0.82,0,2.41,0,13.25,0,0,0.51,0,0,0,0,0,0
120,0,0,3.69,0,235.24,0,10.56,0,2.23,0,0,0,4.38,0,38.58,0,0,0,0,0,0,0,17.64,0
