stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,117.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0
  5-6,57.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.92,0,0,22.39,0,0,0,0,0,0
 14-21,0,1.48,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,1.14,0,0,0,0,0,0.85,0.99,0,0
 24-34,0,0,0,0.71,0,0,0,0,1.09,0,0,0,0,0,5.03,0,3.76,28.74,3.29,0,0,0,2.61,0,7.68,0,0
 36-46,0,0.77,0,1.15,0,0,0,0,0,0,0,0.74,0,0,0.86,0,0,52.62,0,0,0,0,3.47,0,5.42,0,0
 48-58,0,0,0,7.83,1.56,0,0,3.78,0,0,0,0,0,0,6.89,0,1.82,47.72,2.08,0,0,0,3.18,0,6.23,0,1.74
 60-70,0,0,0,16.36,1.34,1.01,0.93,2.4,0,0,0,0,0,1.78,9.03,0,4.9,87.8,0,0,0,2.46,0,0,1.24,0,1.28
 72-82,0,0,0,64.79,0,0,0,2.18,0,0,0,0,0,0,3.31,0,0,85.31,0,0,0,0,0.72,0,2.95,0.96,2.02
 84-94,0,0,0,38.81,0,0,0,0,0,0.83,0.75,0,0,0,18.99,0,0,29.99,0.89,0,0,0,6.16,0,0,0,3.03
 96-106,0,1.5,0,36.52,0.57,0,0,1.78,0,3.47,0,0,0,0.64,9.41,0,0,32.47,0,0,0,0,4.42,0,0,0,3.43
108-118,0,0.7,1.21,63.41,0,0,0,1.1,0,0,0,0,0,0,16.35,0,0,51.27,3.19,1.39,0,0,3.88,0,4.97,0,3.65
120,0,4.25,0,18.09,0,2.63,9.33,1.62,0,8.8,0,0,2.39,0,14.86,3.54,0,138,0,0,0,0,1.13,0,0,0,3.36
