stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,14.06,0,3.68,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.78,0,5.36,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 24-34,0,0,0,0,0,0,0,1.52,0,0,0,0,0.82,0
 36-46,0,0,0.7,0,0,0,0,1.49,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0
 60-70,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.7,0,0,0,2.03,0.54,0,0,0,0,2.32
 96-106,0,0,0,0,0,1.48,1.09,0,0,0,5.36,0,0,0
108-118,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0
120,2.96,0,0,0,1.69,0,0,14.22,0,0,0,0,0,16.95
