stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,17.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,0,0,0,0,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,0,0,0,12.59,0,0,13.2,0,0,0,0,0,0,0
 14-21,0,0,2.48,11.29,4.82,2.78,0,1.36,0,0,0,0,0,0,0,0,0.88,8.79,0,0,0,340.84,0,0,0,0,0,0,7.14,0.81,75.26,0,0,0,0,0
 24-34,0,0,3.03,5.65,0,11.27,0,0,0,32.73,0,0,1.85,0.7,0,0,12.64,21.23,0,0.82,0.87,1159.2,0,0,0,0,0,2.57,0,1.54,265.91,0,0,0,0,0
 36-46,0,0,1.95,0.64,0,84.11,0,1.39,0,154.29,0,0,0,0,0,0,1.23,16.54,0,1.12,0.69,2914.29,0,0,0.9,0,0,6.33,0,0,622.36,0,0,0,0,2.63
 48-58,0,0,0.84,13.13,0.56,301.69,0.67,2.16,0,362.93,0,0,0.68,3.23,0.38,2.22,3.17,53.15,0,0,3.31,4014.72,0,1.42,1.15,0,0,4.45,0.53,0,662.74,0,0,0.97,0,16.13
 60-70,0,0,0,7.27,0,827.58,0,2.61,1.48,521.16,0,0,4.69,5.9,0,0,0.95,43.38,1.1,2.06,2.13,5436.05,0,0,11.14,0,0,1.06,0,0,836.37,0,0,0,0,0
 72-82,0,0,4.19,17.79,9.21,905.26,0,0,2.09,670.02,0,0.58,2.57,0.57,0.65,3.73,0,73.71,0.83,0,1.18,4731.29,0,1.14,4.6,0,0.71,1.49,3.77,0,521.33,0,1.08,4.7,0.76,14.98
 84-94,0,0,5.2,9.13,0.92,776.57,3.35,0,1.1,466.59,1.94,0,0.65,0,0,0.83,0,67.54,0,0,2.92,3090.09,0,0,6.39,0,0,10.64,0,0,405.49,0,3.75,0.57,4.46,0
 96-106,0,0,4.99,32.92,1.13,581.11,1.75,2.32,0,556.8,0.86,0,0,0.76,0.84,0,0.62,42.89,0,1.04,1.36,2581.12,0.62,0,2.94,0,0,10.45,0,0,132.8,4.84,0,2.77,0,0
108-118,0,0,1.77,31.46,7.33,490.37,0,3.2,0,534.68,0.71,0,0.95,0,0,1.74,0,23.36,0,0.71,1.27,3100.73,0,2.93,1.82,0,0,2.96,0,0,158.36,0.44,0,2.9,0.57,0
120,0,0,4.34,36.88,0,616.37,0,4.47,6.63,459.42,1.25,0,16.8,0,0,1.88,0,50.3,0,0,6.32,3509.37,0,0,0,0,3.68,0,0,0,180.45,0,0,18.04,0,0
