stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,48.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,0,0,0,0,0,0,0,0
  7-9,10.84,0,0,0,0,3.56,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,5.17,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.61,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,26.58,0,0,0,0,0,175.5,3.12,0,0,26.45,0,0,0,0,7.08,0,0,0,0,0,0,0
 14-21,0,0,0,3.2,0,12.51,0,0,0,1.14,1.21,0,0,0,0,4.17,0,189.63,90.38,2.98,0,0,0.85,67.71,3.3,0,0,2.6,0,0,0,0.85,2.38,0.82,5.94,18.3,0,0.83,0,64.67
 24-34,0,0,0,0.65,0.61,41.12,0,0,0.61,5.08,0,0,0.62,0,0,12.95,0,89.6,274.52,6.1,0,0,9.8,154.95,1.29,0.63,0,0,0,7.36,0,0,0.84,0,1.29,18.75,0,7.14,0,210.27
 36-46,0,0,0,11.11,0,24.88,0,0,0,0.82,0,0,0.95,0,0,92.43,0,27.62,285.54,7.22,0,0.77,1.51,102.71,0,0,0,0,0,6.47,0,0,0,0,0,10.04,0,0,0,250.64
 48-58,0,0,0,2.79,0,43.62,0,1.85,0,4.5,0,0,0.42,1.24,0,136.11,0,12.66,183.33,13.86,0,0,0,123.25,0,0,0,0,0,7.21,0,0,0,0,0,11.38,0,1.97,0,271.82
 60-70,0,0,0,0,5.84,102.55,0,0,0,26.98,0,0,0,0,0,291.76,0,4.26,84.31,24.83,9.71,0,0.74,194.03,0,0,0,0,0,9.58,0,0,0,0,0,5.11,0,0,0,286.49
 72-82,0,0,0,2.91,0,84.85,0,0,0.98,13.58,0,0,0,0,1.02,211.72,0.81,0,88.76,38.04,0,1.52,0.5,177.69,0,0,0,0,0,0,0,0,1.03,0,0,5.49,0,0.87,0,172.93
 84-94,0,0,0,0.59,4.12,55.86,0.57,0,0,2.69,0,0.77,2.23,1.52,0,237.64,0,0,119.46,52.71,0,1.13,0,93.18,0,0,2.43,0,0,9.24,0,0,0,0,0,9.34,0,1.99,0,129.37
 96-106,0,0,0,0.82,13.73,41.37,0,1.22,1.72,4.04,0,0,0,0.74,0.81,217.49,0.94,12.27,85.01,39.75,2.95,0,0,116.65,0.85,0,0,0,0,6.31,0,0,0,0,0,3.08,0,3.5,0.69,138.1
108-118,0,0,0,0.89,6.83,36.92,0,0,0,7.84,1.55,0,0,1.17,0.52,363.6,4.76,0,125.24,45.5,0,0,3.5,97.99,0.77,0,0.94,0,6.74,4.38,0,0,0.54,0,0,1.82,5.38,4.56,0,146.84
120,0,0,0,5.16,14.31,82.11,0,2.41,0,11.49,0,0,0,4.26,0,330.95,0,0,76.61,16.27,0,0,3.5,190.68,2.12,11.95,13.55,0,0,0,0,0,0,0,0,36.14,1.32,4.78,0,62.04
