stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.76,0,0,5.25,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.62,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.72,22.26,5.21,0.98,0,0,0,1.07,0,0.85,0,0,0,0,0,0,6.1,0,9.44,18.45,15.31,0,0.84,2.9,0,4.55,0,0,3.41,7.03,0,0,0,0,0
 24-34,0,0,0,0.76,1.96,0,6.16,0,0,0,1.44,0,0,0,0.72,0,0.73,0.6,1.23,14.5,0,3.33,29.86,2.3,2.92,0.73,0,1.62,0,1.55,0,3.28,8.47,0,0,2.31,0,0
 36-46,0,0,0,0,2.27,0,9.67,0,0,0,1.83,0,0,0,0,0,0,0,0,4.15,0,3.84,43.71,0,2.87,0.8,0,4.3,0,0,0,0,13.49,0,0,0,0,0
 48-58,0,0,0,0,0.88,0,6.71,0,0,3.01,3.43,0,0,0,0,0,0,0,0.42,16.79,0.37,0.81,42.82,0,3.02,0.84,0,3.75,0,0,0,0,5.12,0,0,1.92,0,0
 60-70,0,0,0,0,0,0.78,14.9,0,1.33,0,4.21,0,0.75,0,0,0.78,0.57,0,0,9.63,0,0.59,40.9,0,0,0,0,0,0,0,0,0,3.18,0,0,1.93,2.76,0
 72-82,0,0,0,0,0,4.12,27.62,0,0,0,7.98,1.43,1.44,0,0,0.54,0,0,0,12.11,0,2.74,46.27,0,2.33,3.11,0,0,0,0,0,0,7.66,0.68,0.66,0,0,0
 84-94,0,0,0,0,2.25,0,23.29,0,4.74,0,2.32,0.6,0,0.7,0.68,0.58,1.23,0,0,9.22,0,0,52.22,0,1.89,0.89,0,2.61,0,0,0,0,0,0,2.09,1.41,0,0
 96-106,0,0,1.15,0,1.89,0,47.77,0,0,0,12.52,0.7,0,0,0.66,0,0,0,0,10.6,0,2.01,22.7,0,6.23,2.22,0,2.41,0,0,0,0,5.28,0,0,1.64,2.35,0
108-118,0,0,0,0,1.07,0,21.95,0.46,1.01,1.94,3.85,0,0,5.1,0.47,7.2,0,0,0.72,12.34,0,1.13,47.54,0,0,2.74,0,4.05,0,0.52,0.5,0,0,0,4.23,0.45,0,0.59
120,0,0,3.64,0,0,0,6.78,0,0,0,1.99,0,0,0,0,1.17,0,0,0,17.7,0,0,16.12,0,0,0,0,0,0,0,0,0,0,0,0,6.63,0,0
