stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.51,60.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.37,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,335.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.77,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.79,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,109.58,6.74,0,0,27.03,0,253.95,6.2,0,0,0,0,0,0,0,0,0
 10-12,0,11.82,0,22.9,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,119.48,13.93,0,0,18.47,0,64.45,0,0,19.46,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,6.02,72.93,0,0.88,0,0,0,0,0,0,10.05,0,0,0,0,0,22.73,0,0,14.29,12.03,0.8,0,11.35,0,0,60.63,0,5.6,2.71,6.12,13.49,6.35,0,16.57,0,0
 24-34,0,0,0,0,3.01,4.03,0,1.09,1.48,0,0,0,0,0,23.61,0,0,1.16,0,1.97,33.24,0,0,19.49,89.82,1.11,4.18,19.69,0,1.61,64.39,0,0,20.89,7.22,4.35,4.72,0,96.75,0,1.38
 36-46,0,0,0,0,0,0,0,11.21,17.09,0,0,0.74,0,0,6.73,0,0,1.17,0,0,33.56,0,0,2.32,24.89,0,9.63,8.07,0,0.77,52.88,0,0,4.8,4.2,0,5.29,0,58.27,0,0
 48-58,0,0,0,0,0,0,0,3.58,8.45,0.49,0,5.81,0,0,11.13,0,2.27,0.79,0,0,15.85,0,0,0.77,21.68,0,10.93,25.53,0,0,25.96,0,0,3.92,1.74,0,7.73,1.28,28.51,0,0
 60-70,0,0,0,0,3.8,0,0,5.9,8.07,0,0,17.66,0,0,15.07,0.71,9.24,0.66,0,0,2.32,0,0,2.69,7.22,0,29,18.13,0,0,42.44,0,0,0.82,3.04,0,6.42,0,28.61,0,0
 72-82,0,0,0,0,0,6.34,0,5.76,8.32,0,0,25.8,0,0,1.92,0,5.72,2.17,0,0,10.45,0,0,1.73,11.42,0,18.48,29.02,0,0,3.11,0,0,0,0,0,0,0,31.64,0.79,0
 84-94,0,0,2.82,0,4.87,1.02,1.54,12.55,9.4,0,0,21.84,0,0,8.08,1.25,7.27,1.24,0,0,7.5,1.16,1.32,3.37,6.55,0,17.3,17.57,0,0,25.43,0,0,0,0.97,0,3.85,1.15,30.23,0,0
 96-106,0,0,0,0,3.38,4.17,0,3.19,9.57,0,0.74,42.09,0.79,0,6.5,0,3.44,6.07,3.85,0,7.87,1.22,0,1.51,20.97,0,22.93,41.24,0,0,12.94,0,0,0.6,1.32,0,1.34,0,18.63,0,0
108-118,0,0,0,0,1.18,1.28,0,11.62,0.99,2.36,0,31.2,1.11,0,4.62,0,19.91,5.34,0,0,16.26,2.25,0,1.68,31.33,0,32.06,55.64,0,1.82,9.28,0,0,0,1.04,0,0,0,18.86,0,0
120,1.12,0,0,0,18.14,0,0,17.04,7.83,0,0,41.94,1.29,0,11.26,0,24.04,1.54,0,0,3.8,0,0,1.46,17.7,0,40.33,66.27,0,0,1.35,0,0,0,3,0,0,0,29.48,0,0
