stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.7,0,0,1.93,0,0,0,1.67,0,1.26,0,0,0,0,1.78,0,1.14,22.79,1.78,0,0,0,0.88,0,0.92,1.36,6.41,0,0,0,0,0
 24-34,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,1.85,0,2.66,23.5,0,0,0,0,0,0,3.73,0.69,6.2,0,0,0,0,0
 36-46,10.95,0,0,10.46,2.4,0,0,7.8,0,0.89,0,0,0,0.61,7.64,0,0.85,53.33,0.61,0,0,0.84,0,0,6.41,0,12.19,0,0,0,0,0
 48-58,0.45,0,0,12.37,2.51,0,0.64,0.42,0,0,0,3.61,0,0,7.47,0,4.67,20.54,0.56,1.78,0,0.56,0,0,2.46,0,5.1,0,0,0,0,5.3
 60-70,3.54,0,0,48.83,6.11,0,0,14.58,0,0,0,0,0,0,12.41,0,0.68,40.77,0,0,0,0.75,0,0,5.9,0,7.45,0,0.73,0,0,0
 72-82,1.31,0,0,20.56,0,0,1.29,7.31,0,0,0,0,0.71,0,19.32,1.52,1.38,25.38,0,0,0.76,0,0,0,2.68,0,8.1,0.5,0,0.99,0.67,0
 84-94,0,0,0,6.6,0,0,0,0,0,0,0,0,1.11,0,4.03,0,1.44,18.1,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0
 96-106,1.33,0,0,20.88,0.56,0,0,0,0,0,0.56,0,0,0,5.77,0,3.43,6.45,0,0,0,3.09,0,0,1.46,0,0,0,0,0,0,0
108-118,2.15,0.84,0.68,13.67,0,0.58,0,12.52,0.55,0,0.95,0.52,0,0,26.95,0,0.42,26.9,0.44,0,0,0,0,0,0,0,0,0,0,1.19,0,0
120,4.52,1,0,2.12,0,0,0,0,0,0,0,0,0,0,18.54,0,3.39,11.41,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0
