stage,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,1.44,0,0.99,0,0,0,0,0,0,0,0
 24-34,0.6,0,0,0,0,0,0,0,1.65,0,0,2.76,0,1.38,0,0,0,0,0
 36-46,0.55,0,0,0,0,0,0,0,14.23,0,0,0,0,0,0,0,1.17,0,0
 48-58,0,0.63,0,0,0,0,0,1.03,23.96,0.42,0,6.41,0,0,0.4,0,0,0,0
 60-70,0,0,0,1.82,0,4.77,0,0.72,6.49,1.63,0.96,8.18,0,1.29,0,0,0,0,0
 72-82,0.67,7.23,0,0,0,4,0,0,2.94,1.3,0,1.04,0,0,0.51,0,0,0,1.63
 84-94,2.1,54.16,0,0,0,16.88,0,0,3.21,1.92,0,0,0,0,0,0,0,0,0
 96-106,0.57,17.27,1.69,1.35,1.57,12.31,0,0,9.26,0,0,6.51,0.81,0,3.04,1.46,1.45,0.82,1.03
108-118,4.5,26.28,0,0,0,8.23,1.08,0.78,5.39,0,0,0.96,0,0.49,3.27,0,0,0,0
120,0,0,0,0,0,14.57,0,0,0,0,0,3.19,0,0,0,0,0,0,0
