stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,275.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0,0,0,0
  5-6,25.59,541.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.97,10.64,0,33.26,0,0,0,68.12,0,0,0,0,0,16.71,0,0,0,0,0,0,0,0,0,0,0,480.92,27.55,0,0,152.43,0,7.87,0,0,0,0,0,0,0,0,0
 10-12,0,21.6,0,14.12,0,0,0,76.78,0,0,0,0,0,5.62,0,0,0,0,0,5.32,0,0,0,0,0,496,13.24,0,0,208.26,0,0,0,35.4,4.75,0,0,0,0,0,0
 14-21,0,0,0,0.93,21.77,0.94,0,12.83,0,0,0,2.8,1.07,0.98,0,0,0.99,0,0,0,0,4.66,0,0,0,92.76,0.97,0,0.89,0.86,0,0,14.9,1.7,10.99,30.01,0,0,3.57,0,0
 24-34,0,0,0,0,7.43,0,0,18.31,0,0.78,0,6.98,0,0,0,0,0,0,0,0,0,20.06,0.81,0,6.04,205.69,0,1.37,0.72,0,9.66,0,0,0,0.72,38.83,0,0,0.63,0,0
 36-46,0,0,0,0,2.88,1.1,0,34.91,0,0,0.78,7.53,0,0,0.56,0,0,0.74,0,0,0,22.06,1.64,0,3.41,329.47,0,3.85,1.52,0,7.12,0,0,0.7,0,65.48,0,0,2.46,0,0
 48-58,0,0,0,0,13.12,0,0,94.23,0,0,0.9,28.16,0,0,1.26,0,0,0,0,7.64,0.54,40.45,0.81,0,4.38,284.64,4.4,1.9,0.59,0,0.76,0,0,1.2,0,64.81,0,0.51,4,0,1.36
 60-70,0,0,0,0,3.6,0,0,92.02,0,0,0,26.18,1.82,0,0,0,2.54,0,0,0,0,28.22,0.85,3.01,0,276.03,0,0,1.42,0,2.78,0,0,0,0,39.29,0,0.9,1.59,0,0
 72-82,0,0,0.93,0,1.31,2.22,0,156.24,0,0,0.51,19.96,0,0,0,0,0,0,0.81,3.06,0,36.23,0,0,1.23,288.3,0,3.83,2.12,0,9.29,0,0,0,0,24.31,0,0,4.43,2.58,0.67
 84-94,0,0,1.05,0,4.22,2.3,0,90.41,0,0,0.57,30.3,1.59,2.11,0.97,1.85,0,1.13,1.3,0,2.16,35.24,4.14,4.01,4.12,233.23,0,0.71,7.22,0,11.12,0,0,0,0,26.24,1.21,0,3.35,3.7,0
 96-106,0,0,0,0,6.58,0,0,133.76,0,1.25,1.81,26.05,0.97,0,0,0.62,0,0,2.65,0.76,0,26.19,0,0,1.67,144.52,0,9.62,4.06,0,15.5,0,0,0,0,8.95,1.22,4.77,3.86,1.89,0
108-118,0,0,0,0,5.14,0.84,0.75,77.63,0.52,3.51,1.47,17.72,2,0,0.8,0,0.59,0,1.03,0,0,39.08,0.49,0,2.49,193.11,0,8.87,3.44,0,12.58,0,0,0,0,15.62,0,0.47,8.65,0,1.32
120,0,0,1.22,0,5.04,0,0,84.15,0,4.64,0,33.15,0,0,0,1.01,0,0,4.13,0,0,41.64,0,0,0,173.56,1.1,0,0,0,10.63,0,0,1.22,0,12.3,0,0,1.55,0,0
