stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,8.77,3.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,17.03,0,0,0,0,9.67,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,65.65,0,0,0,0,23,0,0,0,0.69
 36-46,0,0,0,0,0,1.41,0,1.07,0,0,0,0,52.07,2.73,0,0,0,15.11,0,0,2.3,0.57
 48-58,0,0,0,0,10.01,4.74,0,0,0,3.73,0.37,0.45,74.7,0,1.47,0,0,15.81,0,0,0,2.67
 60-70,0,0,0,0,3.81,5.56,0,0,0,0,12.7,0,37.8,0,0,0,0,17.81,0,0,0,0
 72-82,0,0.81,0,3.71,22.37,80.58,0,1.28,0,0,4.73,1.55,119.53,0,0,0,0,48.89,0,0.87,1.66,0
 84-94,0,0,1.96,0.71,12.06,61.6,0,0,0,0,2.56,0,94.84,0,3.36,0,0,37.58,0,0,0,0
 96-106,0,0,5.29,1.73,34.1,129.45,1.93,5.56,0,3.42,0,2.52,109.74,0,0,0,1.98,26.76,0,0,1.19,0
108-118,0,0,0.47,0,18.97,182.13,0,8.62,0.61,0,2.26,1.08,118.46,0,3.53,0,6.07,28.01,1.35,0,0,0
120,0,0,0,0,10.9,230.1,0,30.08,0,0,1.94,0,235.25,0,2.59,0,0,72.35,0,0,0,0
