stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,163.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.55,53.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.96,6.51,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.25,0,0,0,0,17.31,0,0,0,0,0,0,0,0,0,0,36.07,25.45,0,0,33.97,0,0,0,0,0,5.96,0,0,0,0,0
 14-21,0,0,0,0,5.87,2.35,0,3.44,0,0,0,0,0,55.04,0,0,0,0,0,28.46,0,0,19.22,15.09,0.98,0,0,0,0,0.9,10.01,0.82,261.57,208.91,1.81,0,1.14,0,0
 24-34,0,0,0.6,0.86,8.97,0,0,0.61,9.57,0,0.68,0,0,37.63,0,0,0,1.41,0,7.32,0,0,34.33,52.02,0,0,0,0,3.94,0,0,0,103.31,121.83,14,0,3.35,0,0
 36-46,0,0,0,0,0,0,0,5.47,23.67,0.61,0,0,0,10.81,0,1.77,0,0,0.86,3.03,0,0,21.71,60.83,0,0,0,0,0.82,0.81,0,0,81.23,3.74,3.9,0,18.79,0,2.01
 48-58,0,0,0,0,4.29,0,0,11.73,13.88,0,18.39,0,0,2.28,0,0,0,0,0,4.46,0,0,22.72,49.7,0,0,0,0,0,0,0,0,30.52,0,9.51,0,7.6,0,0
 60-70,0,0,0,0,2.6,0,0,43.35,40.74,0,0.64,0,0,2.18,0,0,0,0,0.88,18.22,0,0,20.62,42.28,0,0,0,0.81,0,0,0,0,16.87,0,5,0,15.99,0,0
 72-82,0,0,0,0,1.03,0,0,7.22,29.75,6.37,4.54,0,0,1.54,0,0,0,5.37,2.51,24.99,0.73,1.08,9.08,60.22,0,2.39,0,0,0,0,0,0,10.6,0,0,0,43.28,0,0
 84-94,0,0,0,0,11.22,0,0,9.83,34.2,3.04,0,0,0,4.75,0,0,0,0,5.25,35.36,0,0,14.9,39.08,0,0,0.61,0,1.87,0,0,0,7.97,0,0.91,0,5.38,0,0
 96-106,0,0,0.81,0,0,0,0,18.96,46.41,8.3,6.75,0,0,7.68,0,0,1.38,3.88,6.79,15.95,0,0,13.71,35,0,0,0,0,1.27,0,0,0,4.84,0,0,4.09,25.5,0,2.47
108-118,0,0,0,0,3.04,0,0.47,24.4,51.94,3.85,0.47,0.97,0,6.61,2.75,0.95,2.16,1.96,22.15,27.41,0,0,14.51,45.92,0,0,0,0,0,0,0,0,11.66,0,1.27,0.56,28.76,2.14,6.88
120,0,0,0,0,2.38,0,0,13.04,30.05,0,0,0,0,1.15,0,0,1.91,3.47,1.6,39.87,0,0,16.97,20.71,0,0,0,0,0,0,0,0,3.7,0,0,0,10.03,0,0
