stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,68.93,1577.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.01,508.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.15,20.44,0,32.47,0,0,0,47.06,0,0,0,0,0,37.18,0,0,0,0,0,0,0,0,330.24,7.67,0,0,90.83,0,0,64.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.17,0,40.62,0,4.67,0,48.34,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,638.1,36.56,0,0,187.14,0,0,5.47,0,26.35,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,1.65,4.63,11.81,0,2.53,0,0,0,1.53,0,0,1.92,0,0,0,5.46,0,0,3.72,74.94,1.13,0,0.98,0,0,0,1.8,12.22,0,0,7.7,24.52,0,0,0,0,0
 24-34,0,0,0,0,3.15,0,0,11.43,0,3.84,0,10.17,0,0,0,0,2.16,0,18.98,0,0,6.95,246.57,0.7,0.95,2.32,0,0,4.04,0,0,0,0,4.37,40.51,0,0,4.68,0,0
 36-46,0,0,0,0,1.08,0,0,47.96,0,0,0.67,14.68,0,0,0.79,0,0,0,17.48,0,0,4.06,284.4,0.69,1.29,0,0,0,7.4,0,0.9,0,0,0,71.56,0,0,1.16,0,0
 48-58,0,0,0,0,4.26,0,0,107.03,0,0,0,17.16,0,0,0,0.48,2.34,0,28.1,0,0,12.87,263.88,0.96,3.01,7.16,0,0,0.43,0,0,0,0.89,0,49.47,0,0,1.59,0,0
 60-70,0,0,0,0,0.62,4.31,0,117.86,0,0,0.7,26.6,1.76,0,0,0,0,0.61,24.82,0,0.99,5.06,313.74,9.5,0.74,0,0,0,1.04,0,0,0,0,0,58.54,0,1.29,0.95,0,11.91
 72-82,0,0,0.98,0,4.97,10.01,0,98.03,3.34,0,1.31,20.83,0.53,0,1.42,0,0,0,41.93,0,0,5.4,142.84,0,2.78,1.53,0,0,0,0,0,0.97,0,0,6.15,0,0,2.03,1.4,0
 84-94,0,0,0,0,4.24,4.55,2.25,88.56,0,1.47,0,20.89,1.23,0,0,1.58,1.99,0,33.43,0,0,0.59,130.27,0.86,9.56,2.79,0,0,1.45,0,0,0,0,0,6.36,0,0,4.14,0,0
 96-106,0,0,0,0,0,8.67,0,68.33,0,0.63,0.69,21.51,0.56,0,1.3,0,0,0,17.4,0,0,2.08,76.62,0.79,2.47,0,0,2.01,9.41,0,0,0,0,0,2.28,0,4.66,2.88,0,9.49
108-118,0,0,0.71,1.47,2.31,6.15,3.3,48.22,0.98,0,0.78,7.07,1.25,0,0,0.67,0.57,0,13.07,4.51,6.5,0.51,117.45,0,2.25,0.53,0,4.05,1.06,0,0,3.52,0,0,4.16,0,0,2.44,0.68,1.25
120,0,0,0,0,8.99,21.03,0,5.43,1.13,0,0,12.13,0,0,0,10.7,0,3.84,5.64,0,0,2.81,67.43,4.62,0,0,0,0,4.15,0,0,0,0,0,10.83,1.99,0,0,0,0
