stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  5-6,16.43,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,32.52,5.9,3.28,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.52,0,4.56,0,0
 14-21,0,0,3.31,0,0,0,1.2,0,0,0,3.08,0,0,2.3,1.48
 24-34,0,0,0,0,0,1.3,0,0,0.69,0.86,5.12,0,0,0.61,0
 36-46,0,0,0,0,0.57,0,0,0,0,0,2.14,0,0,1.35,0.57
 48-58,0,0,0,0,1.92,1.06,0,0.67,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.08,0,0,1.69,0
 84-94,0,0,0.67,0,0,0,0,0,0.86,0,0,0,0,8.26,0
 96-106,0,0,0,0,0,0,0,0,1.99,0,1.08,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0
120,0,0,0,2.61,4.23,0,0,0,0,0,0,0,0,1.16,0
