stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0
 60-70,0,0,1.21,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0
 72-82,0,0,0.75,0,0,7.49,0,0,0,0,204.87,76.28,0,0,0,0,0,0,0,2.72,0,17.17,0,15.99,0,0.93,1.62,2.53,1.65,0,0,0,7.07,36.73,0
 84-94,0,37.48,15.89,0,0,0,0,0,0,2,324.73,0,0,0,0,0,0,0,0,4.28,0,0,0,4.45,0,19.11,0,1.08,0,0,0.95,0,15.13,6.19,0
 96-106,0.91,60.13,25.97,30.63,0.71,139.4,1.58,0,1.54,36.47,2983.72,0,0,2.21,0.59,6.84,2.78,18.6,2.94,35.84,32.15,0.62,1.81,172.95,1.47,2.4,5.27,40.41,0,4.55,0,0.78,40.4,19.09,45.6
108-118,0,8.34,27.92,13.3,1.7,60.23,0,0.42,0,1.32,5594.09,0,0,0.88,0.59,0,0,22.13,0,18.44,29.13,1.01,2.2,68.74,1.15,1.19,0.48,12.95,0,10.8,8.82,3.94,20.53,31.7,2.65
120,0,0,7.17,0,0,3.14,0,0,0,0,2702.98,0,2.09,0,15.24,12.84,0,4.74,0,82.87,503.64,0,2.24,45.21,0,0,2.09,5.18,0,2.14,0,0,17.3,0,0
