stage,epidermis,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0
  7-9,0,0,0,0,0,0,0,23.28,0,3.45,0,0,0,0
 10-12,0,4.57,0,0,0,0,0,9.91,0,4.58,0,0,0,0
 14-21,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.89,5.36,0,0,0,0.6,1.37,0
 36-46,0.93,0,0,0,0,0,0,15.6,0,0,10.02,0,5.28,0
 48-58,1.04,0.88,0,0,0,0,0,32.03,0,0,0,0,2.5,0
 60-70,0,1.73,1.96,2.4,0,0,0,60.7,0.89,0,0,0,4.37,1
 72-82,0,2.82,0,0,0,0,0.57,18.45,0,0,0.57,0,1.83,0
 84-94,0,4.93,0,1.46,1.02,0,1.12,22.09,0,0,0,0,0,0
 96-106,0.63,9.94,0,1.66,0,0,0.74,22.39,3.43,0,0.71,0,0,0
108-118,0,3.68,0,0,0,1.26,0,16.46,0,0,0,0,0,0
120,1.43,0,0,0,1.26,0,0,1.23,0,0,0,0,0,0
