stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91,0,0,0,5.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,1.15,0,0,0,0
 24-34,0,0,0,0,2.52,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,32.68,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.75,0,0,0,7.77,0,0.6,0,0,0,0,0,0,0,0,41.68,0,0,0,0,0,0,0,6.31,0,0,0,1.07
 48-58,0,0,0,0,12.35,0,0,0,99.01,0,0,0,2.29,0,0,0,2.8,0,0,36.81,0,0.48,0,0,0,0,0,12.63,0,2.1,0,0
 60-70,0,0,0,0,14.68,0,0,0,1021.85,0,0,2.45,0,0,0,0,2.99,0,0.71,108.71,0,2.02,0,0,0,0,0,9.86,0,0.89,0,0
 72-82,0,1.5,6.27,0,47.83,0,0,1.88,2465.27,0,1.08,0,0,5.12,7.15,0,32.65,3.83,0,270.46,0,0,2.63,0,0,3.18,0,10.98,0.51,3.19,0,0
 84-94,0,11.76,0,0,60.53,0.73,0,0,2332.72,4.57,0,0,0.6,8.94,0,0.59,86.22,0.98,1.31,185.2,0,1.11,1.75,0,0,0.74,0,4.17,0,0,0,8.71
 96-106,0,34.49,22.22,0,101.75,0,15.77,1.21,3061.93,2.42,0,6.44,0.85,0,1.33,2.09,30.89,0,0.67,322.73,0,0,0.85,0,0,3.01,0,34.01,0,0,0,0
108-118,0,3.32,1.08,39.1,71.43,0,0,0,3428.21,0,0,0.55,0,0,0,2.28,39.78,0,0.5,312.51,0.6,1.04,0,0,1.1,2.33,0.89,7.54,0,2.23,2.32,3.41
120,0,0,0,13,110.28,0,0,0,3461.25,0,0,0,0,0,1.44,0,48.78,12.5,0,456.89,0,0,0,0,0,0,0,65.24,0,8.57,0,0
