stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.2,8.33,5.2,6.1,0,0,0,1.25,0,0,0,0,0,0,1.01,5.05,0,0,3.55,141.22,6.27,0.85,0.94,5.24,0,0.83,18.36,0,0,7.06,25.63,0,0,2.31,0,0
 24-34,0,0,1.47,0.66,6.67,0,0,0,2.6,1.19,0,0,0,0,0,0,12.61,0,0,0.72,124.46,0,0,0.67,0,0,1.02,0,0,0,1.98,29.01,0,0,5.49,0,0.63
 36-46,0,0,0,0,24.11,0,0,0,5.39,0,0.57,0,0,0,0,8.55,19.35,0,0,2.08,92.86,0,8.83,0,0,0,2.25,0,0,0,0,26.96,0,0,0.68,0,0
 48-58,0,0,2.26,0,29.23,0.81,0,0.37,9.85,0,0,0,0,0,0,0.6,16.25,0,0.87,3.62,61.5,0,0,0,0,1.04,1,0,0,0.73,0,12.68,0,0,0,0,2.57
 60-70,0,0,0.64,0,17.12,0,0,0.62,3.42,0,0,0,0,0,0,0,13.92,0,0.82,1.65,33.54,0.58,0,0,0,0,1.87,0,4.44,0,0,7.85,0,0,1.29,0,0
 72-82,1.15,0,0.55,0,9.51,0,0,0,20.44,0,1.08,0,0,0,0,0,25.62,0.73,0,1.73,20.64,0,0,0.55,0,0,2.24,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.51,7.15,0,0,0.94,3.59,0,0,0.67,0.62,0,0,0,26.35,0,0,0.8,4.83,0,0,0,0,0,3.42,0,0,0,0,0,0,1.04,0,0,0
 96-106,0,0,2.5,0,7.83,0,0,0,6.96,1.04,0,0.9,0,1.31,0,0,10.39,0,0.93,1.14,8.58,0.68,0,0,0,0,0.97,0,0,0,0,0,1.08,0,0,2.2,0
108-118,0,0,2.57,0.57,6.85,0,0.55,0,5.59,0,0,0,0,0,3.93,0,16.4,0,0.83,0.44,21.74,0,0,0.56,0,0,0.53,0,0,0,0,0,0,0,0.66,0,0.49
120,0,0,0,1,9.3,0,0,0,10.72,0,0,2.71,3.65,0,0,0,10.46,0,0,0,39.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
