stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,643.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.24,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.45,0,0,0,12.54,0,53.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.86,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.26,3.1,0,0,11.65,0,50.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,31.64,0,0,2.18,0,0,0,1.23,0,0,0,0,3.01,0,0,0,5.02,0,0,4.13,22.84,2.83,3.52,0,1.46,0,333.86,4.15,0,3.59,9.54,7.03,0,0,0.81,0,0
 24-34,0,0,0.65,1.37,6.45,0,0,7.72,0,0.82,0,0,0,0,5.13,0,1.37,0,0,0,13.42,2.33,0,1.06,139.84,0,3.12,3.4,0,0.99,341.9,0,0.85,0,1.14,64.76,0,0,1.42,0,0
 36-46,0,0,0,0,1.67,0,0,94.81,0,1.72,0,2.13,0.56,0,4.96,0,0.83,0,0.75,0,34.79,2.7,0.86,2.68,273.76,0,18.73,2.24,0,0,526.65,0,0,0,0,116.04,0,0,0.93,0,0.82
 48-58,0,0,0,0,7.45,0,0,186.37,0,5.3,0,7.16,0,3.72,1.53,0,0.4,0,1.38,0,33.22,0.74,0.49,6.2,327.01,0,4.2,4.8,0,0.56,337.97,0,0,3.14,0,139.83,0,0,1.27,0,5.21
 60-70,0,0,0,0,9.84,0,0,502.23,0,12.21,0,17.86,2.17,0,13.49,2.53,1.96,0,2.34,0,62.98,2.68,0.71,5.73,269.48,0,0,3.59,0,0,379.12,0,0,1.46,0,79.4,0,0,2.47,0,0
 72-82,0,0,0,0,23.95,0.59,0,403.39,0,1.19,2.85,28.95,6.69,0,2.28,2.88,3.76,0.52,1.41,0,98.45,1.61,14.06,8.84,288.82,0,3.72,5.17,0,1.48,235.8,0,1.27,0.51,0,47.57,1.32,0,0,1.52,5.8
 84-94,0,0,0,0,51.37,1.28,0,323.21,1.31,22.43,0,10.46,6.88,1.71,6.46,2.33,5.56,0.96,0.6,0.57,75.88,11.37,3.29,1.08,266.79,0,2.42,11.28,0,0.6,576.85,0,3.42,0.66,0,27.59,1.01,0,1.85,1.1,1.57
 96-106,0,0,0,0,72.62,9.55,0,338.64,0.96,20.71,0,22.58,8.81,0,3.31,1.72,13.55,0,0,1.37,95.35,10.56,13.76,1.81,185.32,1.47,8.09,16.45,0,0,559.8,0,0.7,0,0,25.44,3.95,0,7.32,7.09,8.2
108-118,0,0,0,0.49,61.18,1.1,3.41,267.77,0.88,28.71,0,13.96,18.74,0,7.73,3.73,21.31,1.1,1.54,6.57,87.65,23.17,18.26,1.92,287.8,1.38,5.75,14.22,0,9.71,500.85,0,0.52,0.89,0,23.37,5.69,3.19,6.1,10.13,1.95
120,0,0,0,1.28,71,5.3,0,156.44,6.85,25.95,0,56.37,8,0,3.7,5.77,9.68,3.65,6.23,9.25,99.31,16.51,7.3,10.07,280.58,1.1,12.99,17.56,0,2.63,334.89,0,0,0,0,34.49,0,0,0,0,2.85
