stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,16.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0
  7-9,0,0,0,0,5.86,0,0,0,3.24,0,0,0,0,0,0,0,72.36,13.3,0,0,27.98,0,0,0,0,0,0,0,0
 10-12,0,6.26,0,0,7.26,0,0,0,0,0,0,0,0,0,0,3.87,39.17,7.29,0,0,3.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,3.66,0,0,2.17,0,0,8.33,0,0,0,0,0,0,1.39,0,1.15,0.98,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.08,5.1,0,0,2.5,0,1.8,26.62,0,0,0.77,0,0,0,0,0,0,8.92,0,0
 36-46,0,0,0,0,3.3,0,0.63,0,0,0.69,37.99,0,0,10.9,0,3.56,16.28,0,0,0.83,0,0,0,0,0,0,0.73,5.34,0
 48-58,0,0,0,0,8.48,0,1.32,0,0,0,25.07,0,0,4.77,0,0,8.35,0,0,0,0,0,0,0,0,0,2.39,1.49,0
 60-70,0,0,0,0,4.92,0,1.26,0,0,0,18.53,0,1.2,1.06,0.66,0.68,15.31,0,0,0,0,0,0,0,0,0,0,0.61,0
 72-82,0,0,0.68,0,3.9,0,9.23,0,0,0,21.94,0,0,8.7,0,0,27.06,0,2.57,0,0,1.1,0,0,0,0,3.7,0,0
 84-94,0,0,1.74,0,1.4,0,2.13,0,0,0,57.58,0,0,0,0,0,13.98,0,0,3.48,0,0,0,0,1.09,0,0,2.34,0
 96-106,0,0,2.86,2.64,4.16,0,0.94,0,0,0,42.13,0,0,2.88,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0.74,0
108-118,0,0,2.67,0,1.16,0.62,0,0,0,0,46.97,0.63,0.49,0,0,0,13.4,0,0,0.76,0,0,0.88,0,0,0,0,5.15,1.06
120,0,0,13.42,0,12.47,0,5.01,0,0,0,71.15,0,0,0,0,0,16.86,0,0,0,0,0,0,0,0,0,0,3.71,0
