stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,51.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.93,0,0,0,0,0,0,0,0,0,0
  5-6,0,260.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.63,0,3.3,0,0,60.27,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,401.21,0,0,0,131.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,49,0,29.55,0,0,73.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1714.6,11.67,0,0,191.17,6.22,0,0,24.63,0,12.28,25.66,0,0,0,0
 14-21,0,0,0.82,4.45,15.1,1.2,111.98,0,65.97,1.08,2.24,2.21,0,2.66,0,0.93,0,7.83,1.02,0,7.1,1666.31,2.53,0,16.04,8.41,0,1.81,0.98,19.19,1.44,11.84,781.05,0,0.98,0,0
 24-34,0,0,2.09,3.73,6.76,0.78,371.73,0,117.52,0,0,0,0.67,6.84,0,5.06,2.78,12.2,0.61,0,8.4,2284.52,0,8.19,22.43,0,0.81,0,0.97,1,0,0.69,818,0,0,0,0
 36-46,0,0,0,0,3.41,0,195.21,0,176.85,0.61,0,0,0.57,1.01,0,3.95,0,11.15,0,0,3.61,1331.67,0,6.86,8.18,0,3.52,0,0,5.35,0,0,564.34,0,1.02,0,0.74
 48-58,0,0,0,0,3.25,0,177.91,0,191.56,0.41,0,0.88,0,7.96,11.26,2.13,1.45,6.51,0,0,0.47,479,0,4.96,19.73,0,1.97,0,0,1.07,0,0,250.7,0,0,0,0
 60-70,0,0,2.59,0,0,0,136.32,0,124.82,6.9,0,0,0.7,0,0,2.69,0,7.87,1.59,0.69,0,286.72,0,5.62,8.92,0,0,0,0,0.85,0,0,68.09,0,1.71,0.64,0
 72-82,0,0,9.78,0,3.35,0,78.94,0.51,117.11,3.45,0,0,0.65,2.12,0,6.65,0,38.59,0,0,2.77,151.69,0,6.08,29.39,0,1.41,0,0,0,0,0,18.7,0,7.08,0.57,0
 84-94,0,0,4.34,0,5.06,0,105.7,0,80.41,12.63,0,0,5.15,1.95,0,7.13,0,47.64,0,6.29,2.88,135.88,0,10.56,25.87,0,0,0,0,1.38,0,0,29.45,0,0.76,0,0
 96-106,1.12,0,9.86,0,1.33,0,54.49,0,69.17,7.2,0,0,0,0.63,0,11.08,7.59,29.12,0,4.98,0,88.61,0,11.71,12.89,0,2.12,0,0,1.71,0,0,11.03,0.57,0.77,2.16,0
108-118,0,0,9.5,0,5.69,7.7,80.24,0,91.14,5.53,0,0,9.13,1.06,0,11.46,0,72.14,0,5.59,0,156.09,0,6.34,14.54,0,1.59,0,0,2.6,0,0,2.23,0,1.01,0.99,0
120,0,0,18.82,0,6.49,0,44.42,0,146.76,0,0,0,0,1.45,0,6.93,0,45.41,0,0,0,211.7,0,10.48,21.47,0,0,2.5,0,0,0,0,0,0,0,0,0
