stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.54,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,5.47,0,0,30.43,0,0,0,0,5.56,0,0,0,0,0,0,0
 14-21,0,6.01,0,8.86,3.21,0,0,0,0,0,0,1.21,1.35,0,0,0,0,0,0,0,8.96,0,0,0.89,28.89,0,0,0,0,0,0,0,2.05,0,1.01,4.67,14.81,0,6.22,0,0
 24-34,0,3.73,0,0.64,0.95,0,4.28,0,0,0,0,0,0,0,1.43,0,0,6.18,0,0,10.57,0,0,3.59,219.88,0,16.09,0.65,0,0,0,0,0,0,16.09,0,42.13,0,67.8,0,0.63
 36-46,0,0.73,0,0.58,1.23,0,15.78,0,0,0.96,3.2,0,0,0,0,0,1.97,1.2,0,0.99,13.52,0.59,0,7.81,594.26,0,6.8,2.02,0,0,0,0,0,0,13.87,0,118.76,0,45.09,0,0
 48-58,0,0.88,0,5.04,0,0,114.42,1.26,0,9.59,9.52,0,0,0.58,7.45,0,0,0,0,3.75,19.96,0.5,0,5.8,903.33,0,2.51,0.7,4.77,0,0,0,0,0,5.66,0,149.04,0,39.98,0,0.67
 60-70,0,0,0,1.81,0.63,0,363.44,1.28,2.64,6.68,19.08,0,0,0,6.66,0,0.85,0,8.62,0,22.79,0,0,4.88,1355.6,5.48,2.24,7.4,0,0.66,6.65,0,0,0,13.71,0,168.23,0,12.01,0,5.27
 72-82,0,1.01,0,8.64,3.05,0,443.59,1.11,0.55,4.49,25.31,1.1,0,0.73,3.61,0,7.85,2.16,0,0,63.58,0,1.94,6.25,1300.05,1.92,11.01,2.55,0,0.8,3.72,0,0,0.49,3.38,0,109.99,0,85.28,0.78,16.88
 84-94,0,1.05,1.04,26.25,4.92,1.39,282.82,0.57,0,0.91,20.25,0,0,0,2.22,0.83,7.44,6.98,0,6.42,43.46,0,0.89,0.83,804.4,0,0.95,5.8,0,0,6.33,0,0,0,18.72,0,76.1,1.23,50.56,1.61,0.66
 96-106,0,2.51,0,10.64,20.44,0,215.43,2.01,8.34,7.09,34.88,1.56,0,0,4.72,0,1.86,8.21,1.25,0,42.32,0,0,6.09,781.67,0,0,24.94,0,0,5.66,0,0,0.68,13.61,0,39.09,0,51.76,5.4,0
108-118,0,0.58,0.49,27.24,10.29,7.38,194.92,4,4.27,6.11,28.25,0.48,0,0,8.98,0.51,4.73,2.89,0,0,68.23,0,1.21,6.13,976.71,0,4.33,7.08,0,1.35,2.27,0,0,0,2.52,0,54.74,1.23,43.34,2.26,0.97
120,0,0,0,11.53,0,0,263.38,9.29,3.67,14.76,73.57,1.38,0,2.27,11.98,0,3.57,4.14,0,0,37.09,0,0,10.02,1220.3,1.77,1.26,24.63,0,6.67,1.85,2.5,0,3.15,2.07,0,26.64,0,50.08,0,0
