stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0,5.67
 36-46,0,0.79,0,0,0.63,0,0,2.3,0,0,0,7.67,0,0,0.9,0,0
 48-58,0,0,0,0,0.5,0,0,0,0,0,0.45,9.72,0,0,0.69,0,0
 60-70,0.9,0,9.59,0,1.31,1.29,1.48,2.8,0,0,0,21.81,0,0,1.55,0,0
 72-82,0,0,8.14,0,0,0,0,0,0,0,0.8,0.84,0,0,0,0.5,0
 84-94,0,0,1.48,0,0,0,0,10.31,0,0,0,2.5,0,1.25,0.62,0,0
 96-106,0,0,0,0,1.33,0,0,2.7,3.69,1.32,0,3.3,0,0,0,0,0
108-118,1.25,0,0,0.42,0,0,0,8.09,0,0,0,1.26,0,0,0,0,0
120,0,0,1.08,0,0,1.69,0,18.53,0,13.09,1.82,58.49,6.31,3.9,0,1.72,0
