stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.38,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.59,13.59,0,0,18.92,0,0,0,0,0,9.86,0,0,0,0,0,0
 14-21,0,0,0,0,2.79,1.02,0,2.72,0,0,0,0.84,1,0,0,0,0,0,0,0.94,3.84,0,0.91,65.34,16.15,0.98,0,3.26,0,0,9.13,0,2.15,8.38,28.11,0,0,4.01,0,0
 24-34,0,0,2.31,0,5.62,0,0,8.22,0,0,1.67,5.08,0.67,0,1.04,0,0,0,0,2.06,6.93,0,0,176.95,0.96,2.76,0,0,0,1.46,0,5.73,0,3.54,65.75,0,0,83.1,0,0
 36-46,0,0,0.95,0,0,0,0,16.81,0,0,0.94,22.69,0,0,5.4,0,2.33,0,3.22,0,9.96,0,6.71,347.82,4.75,0,1.66,0,0,1.83,0,2.97,0,0,129.38,0,0,126.94,0,0
 48-58,0.58,0,0,0,4.43,3.64,0,28.6,0,0,1.7,88.47,0,0.39,26.24,0,3.75,0,1.64,2.47,49.94,0,1.11,466.8,0.49,3.23,3.74,0,0,0,0,10.62,0,0,105.81,0,0,61.18,0,0
 60-70,0,0,0,0,0,0,0,96.31,0,0,4.3,248.92,0,1.76,21.69,0,9.39,0,0.6,0,48.41,0,2.96,775.94,0,1.23,0.84,0,0,8.6,0,7.33,0,0,147.32,0,0,40.88,0,0
 72-82,0,0,0,0,3.97,0.51,0,193.32,0,0,3.21,471.13,0,0.74,35.73,0,35.05,1.28,0,0,82.15,0,14.8,1121.74,0,0,1.53,0,0.71,0,0,8.88,0,0,132.56,0,0,148.11,0,0
 84-94,0,0,1.44,0,0,0.84,0,178.92,0,0.91,2.62,437.23,0,0,46.89,0,12.82,0,0.58,0,93.05,5.4,2.53,859.79,0,0,5.73,0,0,14.17,0,0,0,0,98.47,0.9,0,101.44,0,0
 96-106,0,0,0.83,0,5.12,12.35,0,164.5,0,1.14,0.66,629.39,1.5,0,37.58,0,5.92,0,20.79,0,79.56,4.02,0,941.66,0,0,0.72,0,3.47,1.66,0,0.58,5.77,0,54.31,0,1.65,112.19,0.65,0
108-118,0,0,1.59,0,7.5,5.54,0.81,192.1,0.99,0,11.31,577.57,4.04,8.2,39.12,2.52,15.3,0,1.11,0,66.97,2.05,6.58,1074.62,0,0,0.57,0,2.98,6.8,0,0.61,0,0,55.57,0.68,1.61,99.71,1.74,4.66
120,1.12,0,1.73,0,18.71,17.46,0,383.87,0,0,2.41,848.74,0,0,113.67,0,14.14,3.84,1.12,0,71.37,17.89,1.82,1936.4,1.81,0,0,0,0,6.79,0,5.04,1.63,0,124.8,0,0,129.32,0,0
