stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,taste,vasculature
  3-4,0,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.75,605.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,80.2,0,0,0
  7-9,0,0,0,54.17,0,0,5.64,0,0,7.3,0,0,0,0,0,0,0,161.27,0,0,35.63,31.47,0,0,0
 10-12,0,0,0,10.24,0,8.6,3.97,0,0,0,0,0,0,0,0,0,0,64.01,0,0,17.27,14.63,5.05,0,0
 14-21,0,0,0,1.85,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0
 24-34,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,27.26,0,0,0
 36-46,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,4.4,0,2.27,0,0,0,90.31,0,0,0
 48-58,0,0,0,0,0,0,1.48,0,0,0,0.85,0,0,0,0.9,0,1.54,5.67,0,0,0,42.31,0,0,0
 60-70,0,0,0,0,6.26,0,3.3,0,0,0,0,0,3.44,0,0,0,0,0.75,0,0,0,61.62,0,3.21,0
 72-82,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03,0,0,0
 84-94,0,0,0,0,5.81,0,0,0,0,0,0,1.17,1.52,1.36,0,2.07,2.3,1.16,0.71,1.29,0,78.65,0,0,0.58
 96-106,0,0,0,0,7.49,0,1.95,1.1,0,0,1.28,0,0,0,0,0,1.39,0,0,0.87,0,62.78,0,0,0
108-118,0,0,0,0,7.62,0,0.45,4.44,2.94,0,0,2.85,0,0,0,0,1.21,2,0,0,0,69.69,0,0,0
120,0,0,0,0,3.97,0,0,2.6,3.25,0,6.73,0,1.34,0,0,2.21,0,9.33,2.4,0,0,36.65,0,0,1.23
