stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,2.75,82.7,0,3.52,0,0,0,0,0,57.06,0,0,0,0
 24-34,0,0,1.97,0,0,11.21,0,1.18,0,0,0,0,0,0,0,0,0,0,1.4,0,0,2.69,1206.67,1.48,17.64,0.62,0,0,0,1.73,252.93,0,0,0,0
 36-46,0,0,2.22,0,0,84.01,0,0,0,26.83,0,0,0,0,0,0,0,0,3.06,0,0,0,4227.3,0,37.14,0,0.72,0,0,0,598.18,0,0,0,0
 48-58,1.29,0,20.29,0,0,432.39,0.67,2,0.4,84.45,0,0,0,0,6.95,0,0,7.7,23.8,0,0,0.68,5150.43,5.12,15.24,4.53,4.22,0.73,1.87,0,710.11,0,0,0,1.17
 60-70,0,0,7.84,1.62,0,831.94,0,0,0,90.21,5.79,0,0.58,0,5.22,1.16,0,0,23.07,0,0,8.94,6738.91,0,22.74,4.18,7.88,0,0,0,913.19,0.79,1.09,0.89,14.85
 72-82,0,0,5.99,0.97,0,993.4,0,8.97,11.61,105.45,0,1.72,0,0,0.57,0,0,0,43.26,0,1.13,1.23,4588.58,0,37.96,0,2.83,0,0,0,595.86,0.61,4.12,0,6.08
 84-94,0,0.84,11.99,3.91,0,858.38,3.35,0,0,93.32,1.94,4.02,0,0,9.75,0,0,0,62.19,0,1.32,1.3,3414.77,0,33.37,0,0.8,0,0,0,475.6,0,2.92,6.7,6.25
 96-106,0,0,32.11,7.37,1.12,885.98,0.87,2,2.26,88.87,1.38,0.91,0.84,0.86,0,0,12.66,0,23.08,0,7.22,1.81,2524.94,0,57.94,2.2,5.26,0,0,0,180.53,0,2.91,3.1,8.67
108-118,0,0,26.36,3.09,0,922.11,0,0,1.92,114.53,0.48,0,0.48,0,0.79,0,2.4,1.71,23.4,0,0,10.98,3162.66,0,29.36,0,2.54,0,0,0,115.2,0,5.62,4.28,3.17
120,0,0,29.54,4.28,3.69,585.16,0,1.21,0,158.44,1.18,0,4.75,2.21,0,0,0,0,13.52,1.65,0,3.06,3717.83,2.06,11.36,13.55,1.24,2.39,0,0,86.82,0,3.03,0,0
