stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,4.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,7.47,0,0,0,20.87,0,17.03,0,0,0,0,0,0,0,0
 14-21,0,3.12,6.24,8.8,0,0,0,5.95,0,0,1.28,0,0,0,0,45.62,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0
 24-34,0,1.22,1.61,0,0,1.42,0,14.8,0,0,1.6,1.36,0,0,0,42.37,1.15,0,0.62,0.95,0.96,0,0,0,0,0,0,25.53,0,0.77
 36-46,0,0,0,0,0,0,0,5.16,0,0,2.89,2.4,0,0,0,2.95,4.04,0,0,9.61,0,0,0.87,0,0,0,0,89.7,0,0
 48-58,0,0.4,0,0,0,2.82,0,2.36,0,0.44,11.45,15.82,0,0,0,10.43,0.95,0,0,13.46,0.48,0,0,0,10.18,0,0,155.13,0,0
 60-70,0,0,0,0,0,3.14,0,0,0,0.96,19.09,22.93,0,0,0,40.77,1.96,0,4.27,18.37,2.02,0,0,0,11.4,0,0,141.72,0,9.67
 72-82,3.59,0,0.84,0,0,17.17,1.52,0,1.44,0.89,117.37,26.71,0,0,0,62.46,11.41,0,0,35.09,0,0,0,3.73,0,0,2.53,427.13,0,0
 84-94,4.89,1.56,10.65,0,0,9.69,0,0,0,1.05,272.61,11.21,2.68,0.75,0,164.72,4.56,0,0.67,45.09,0,0,8.43,22.85,1.8,0,0,193.72,0,0
 96-106,19.9,7.18,4.84,3.95,0,95.77,0.76,0.73,1.88,10.84,748.93,24.27,3.01,0,2.39,310.04,24.62,0.83,2.6,268.43,2.97,0,26.07,25.36,3.37,4.54,0,419.85,2.72,0
108-118,3.13,8.92,4.83,4.58,2.12,35.74,0.49,2.46,4.18,9.3,1073.3,9.83,1.38,0.43,0,525.77,35.32,0,3.13,228.12,0.48,0,4.46,55.66,0,0,0,281.14,3.76,7.93
120,0,1.27,21.28,5.09,0,30.28,0,0,0,4.05,754.21,33.61,0,11.36,0,401.67,11.84,0,0,216.83,0,0,0,82.36,0,0,0,387.59,0,0
