stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,0
  5-6,0,648.1,0,9.08,0,0,0,0,0,0,0,0,0,49.25,0,0,0,0,0,0,0,0,0,0,0,21.68,0,0,0,0,0,35.74,0,0,0,0,0,0,0,0,0,0
  7-9,11.71,11.29,0,4.03,0,0,0,30.14,0,0,0,0,0,46.8,0,0,0,0,0,0,0,0,0,0,0,334.07,0,0,0,60.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,114.23,0,4.74,0,5.98,0,0,0,0,0,347.55,0,0,0,0,0,0,0,0,0,0,0,136.28,11.52,0,0,47.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.42,103.2,4.39,0,2.15,0,0,0,21.58,0,161.07,2.49,0,0,0,0,2.94,0,55.68,0,0,36.94,44.27,9.93,0,0,0,0,2.9,8.44,0,62.55,430.56,8.01,0,0,1.07,0,0
 24-34,0,0,0,4.76,133.23,0,0,9.09,4.51,4.26,0,0.73,3.09,4.58,18.24,0,0.79,0,4.31,0,0.82,234.22,2.33,3.04,85.82,95.77,15.11,0,2.92,1.99,0,11.04,1.22,6.72,9.75,52.54,3.38,0,0,5.05,0,0
 36-46,0,0,0,0.84,64.26,0,0,6.82,19.53,22.87,0.75,3.32,1.44,0,7.49,0,0,0.56,0.8,1.74,0,411.33,0.77,2.58,84.6,104.3,32.19,0.56,19.35,0,0.97,7.35,0,8.17,2.71,0,9.3,0,0,2.36,0,3.68
 48-58,0,0,0,3.36,82.96,0,0,16.4,5.01,12.88,9.07,9.01,4.25,0,9.05,0,0,0.41,3.96,3.07,0.39,420.86,0,22.43,66.94,148.96,12.69,1.47,8.88,0,1.65,5.89,0,1.35,6.59,0.55,14.96,0,3,1.79,0,2.88
 60-70,0,0,1.47,0,54.99,0,0,27.02,4.63,19.12,4.12,45.76,21.63,0,16.18,0,0,5.14,10.91,1.41,0,632.9,0,20.52,45.69,88.16,9.45,0.84,21.83,0,4.09,11,0,2.64,5.39,0,20.58,0,3.83,1.84,4.28,30.49
 72-82,0,0,0.54,0,56.76,0,0,45.72,9.72,15.68,9.6,109.91,34.81,0,23.5,0.58,5.86,8.02,12.35,0.96,0,841.68,1.29,34.83,59.83,138.55,0.5,0,9,0,5.45,10.26,0,1.23,0,0,28.8,8.43,24.55,19.69,19.73,21.22
 84-94,0,0,0,0,102.47,0,1.06,44.59,0.72,26.23,6.05,87.8,43.11,0.6,15.57,1.41,6.33,11.92,7.66,1.49,0,642.7,0.62,29.22,42.64,110.4,1.42,0,16.37,0,8.87,32.17,0,1.77,1.3,0,4.51,20.07,14.52,6.8,27.96,15.1
 96-106,0,0,3.28,1.07,55.88,5.03,1.14,46.9,0.69,23.22,12.72,125.84,30.83,0,8.47,5.94,5.63,15.77,25.14,0.76,0,624.16,1.97,43.87,36.29,174.35,0,4.06,22.09,1.2,7.47,19.38,0,7.31,0.6,0,8.44,11.1,16.01,21.83,23.86,17.13
108-118,0,0,2.35,0.44,113.48,0,0,55.15,0.5,44.69,15.82,112.26,50.34,0,10.38,1.42,15.54,4.77,12.96,0.69,0,666.01,1.89,40.39,45.24,122.98,0.95,2.49,26.14,0,11.66,12.65,0,1.73,0,0,11.09,19.99,24.81,11.46,21.78,13.28
120,0,0,0,0,94.78,0,0,44.69,0,31.01,1.85,217.71,17.96,0,10.28,7.03,11.78,10.08,12.85,0,0,600.29,1.13,50.69,29.7,217.07,0,0,35.2,19.84,12.2,13.91,0,1.22,4.15,0,33.93,11.96,51.93,14.33,11.45,7.95
