stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,4.99,1.87,0.84,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.82,306.45,1.15,1.82,0,0,0,0,0,0,288.47,0,0,0,0,0
 24-34,3.3,6.79,0.59,0,17.92,0,0,0,5.08,0,0,2.91,0.65,0.86,0,0,0,4.82,9.49,0,0,2.94,2625.55,0,67.75,0,1.61,15.95,0,1.14,0.62,927.86,0,0,7.59,0,0
 36-46,0,12.82,0,0,181.07,2.36,0,0.75,16.88,0,0,0,0.96,1.01,1.3,0,0,0.61,13.64,0,0,1.85,8524.06,0.85,49.67,0,0,7.7,0,0,0,1505.19,0,0,1.02,0,3.59
 48-58,1.34,45.22,5.73,0,1369.24,2.8,8.5,2.25,138.96,0,2.85,0,2.53,0,11.64,0.44,2.56,15.96,105.86,0,6.24,29.7,15875.7,11.75,40.77,7.75,0,12.07,0,0,0,2138.41,0,0,15.53,0,51.5
 60-70,1.48,28.34,5.79,0,3512.22,1.28,18.6,2.25,118.4,0,0.66,2.11,9.55,10.25,9.49,1.16,15.68,15.66,90.61,0,15.52,9.08,23767.55,3.91,34.94,0,4.52,26.51,2.55,0,0,2401.26,0,0,2.31,0,68.21
 72-82,4.05,83.78,37.4,0,4032.4,0.72,8.01,13.52,224.69,4.11,0,2.87,17.12,2.22,1.07,0,10.63,0,210.63,3.57,2.09,11.48,16604.57,0,56.04,6.96,3.6,17.64,0,0,0,1500.63,2.37,4.91,10.93,3.35,101.38
 84-94,5.28,99.67,14.64,10.69,2830.25,0.68,6.15,1.42,231.17,2.52,0,5.21,6.31,1.62,16.57,2.14,0,3.32,144.34,4.67,6.72,12.06,10601.99,0,35.67,6.96,0,23.96,0.65,1.82,0,1025.23,9.72,7.53,9.68,3.06,0
 96-106,0,79.24,21.38,3.52,2526.06,1.32,10.11,5.06,210.81,4.21,0,4.63,12.9,8.38,5.48,1.31,29.22,0,138.81,5.46,7.92,19.13,8095.05,0,63.51,0.61,2.42,45.3,0.6,0,0,463.91,2.96,0.77,13.57,1.54,0
108-118,2.84,100.62,16.5,0,2275.07,1.83,4.18,4.4,172.9,10.43,0,3.3,5.82,1.87,3.13,1.26,12.12,0,113.75,0.67,0.69,4.6,10583.46,0.69,42.69,2.11,5.61,12.08,1.83,0.91,0,382.62,11.75,0.57,16.55,3.17,4.35
120,7.37,98.73,5.4,0,2738.34,2.29,39.36,0,317.37,1.14,0,33.9,15.65,1.65,0,0,9.4,0,202.22,0,9.54,17.58,15138.44,0,73.64,18.1,0,8.54,0,1.63,0,463.49,0,1.54,27.37,19.36,22.97
