stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,374.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.54,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,186.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.45,0,0,0,0,0,0,0,0,0,0
  7-9,15.53,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.76,0,0,0,22.93,0,6.57,7.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.67,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,91.12,0,0,0,49.91,0,0,0,0,17.19,0,0,0,0,0,0,0
 14-21,0,0,2.73,11.67,3.83,0,22.51,0,0,1.1,0,0,0,0,0,0,0,0,0,4.22,0,0,1.04,40.92,0,0,0.94,0,0,4.21,0,4.06,0,8.71,10.79,0,0,0,0,0
 24-34,0,0,0.86,6.79,0,0,6.46,0,0,5.79,0.82,0,0,0,0.59,0,0,0,0,13.02,0,0,4.24,78.54,0,3.38,0.88,0,0,7.87,0,0,1,0.74,9.66,0,0,2.75,0,0
 36-46,0,0,0,3.7,0,0,7.77,0,0,1.73,0,0,0,0.56,0,0,0.57,0,0.63,8.89,0,0,0.69,41.98,0,1.37,0.76,0,0,9.93,0,0,0,0,9.8,0,0,10.29,0,0
 48-58,0,0,0,10.71,0,0,9.57,0.93,0.47,4.88,0,0,0,1.13,0,0.41,0.43,4.04,0,16.83,0.59,0.51,4.42,35.07,0,0,0,0,0,3.54,0,0,0,0,2.7,0,0.84,0.99,0,0
 60-70,0,0,0,2.04,0,0,9.69,0.63,0,3.9,0,0,0,1.94,0.86,0,0,3.18,0,28.7,1.85,1.36,0.86,21.98,0,1.15,0.59,0,3.11,2.41,0,0,0,0,1.56,0,0,6.02,0.64,0
 72-82,0,0,0,11.54,0,0,14.67,0,0.77,10.94,0.64,0,0,11.08,0.7,0.82,0.79,1.2,0,49.73,0.89,0.54,4.44,19.83,0,0,1.81,0,0,7.55,0,0,0,0,2.06,0,0,5.22,2.35,4.01
 84-94,0,0,0,9,0,0,5.67,0,0,14.25,0.59,0,1.22,15.88,1.15,1.34,1.05,0.82,0,50.89,3.89,1.37,6.12,35.83,0,0,0.61,0,0,21.54,0,0,0,0,0,0,0,6.86,0,0
 96-106,0,0,0,14.85,1.31,0,15.71,0.6,1.07,3.37,8.5,0,0,29.5,0.74,0,1.13,0,0,54.51,1.23,0.68,4.9,25.07,0.75,0.63,2.11,0,0,21.76,0,0,0,0,2.16,0,0,10.14,0.85,0
108-118,0,0,0,21.48,0.6,3.36,9.64,2.94,2.5,11.24,3.8,0,1.8,30.44,1.07,0.93,2.75,1.13,0,81.68,0,0,7.43,35.33,1.31,1.8,0,0,1.23,16.81,0,0,0,0,1.73,0.68,0,9.64,3.46,0
120,0,0,0,17.68,1.9,0,33.48,11.55,5.31,8.32,3.05,0,0,34.66,1.05,0,0,0,0,56.54,0,0,11.88,31.07,0,0,0,0,0,20.9,0,0,0,0,0,0,0,21.94,0,0
