stage,blastomeres,endoderm,neural,notochord,paraxial.mesoderm
  3-4,16.54,0,0,0,0
  5-6,31.94,6.55,0,0,0
  7-9,7.31,0,13.69,0,13.35
 10-12,0,0,20.46,3.27,12.47
