stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.43,0,4.26,0,0,0,0,0,0
 14-21,0.94,1.89,0,0,0,0,0,0,0,0,0,0,0,0,4.65,1.16,0,0,0,0
 24-34,0,6.86,0,12.04,0,0,0,0,0.9,0,2.93,9.19,1.03,0,0,0,0.68,3.03,0,0
 36-46,0,0,0,0,1.39,0,0.6,0.99,0,0,0,6.25,0,0,0.64,0,0,0,0,0
 48-58,0,0,0,2.19,0,0,0,0,1.78,0.82,0.38,14.57,0,0,0.81,0,0,3.4,0,0
 60-70,0,1.28,0,1.96,0,0,1.02,0,0,0,0,28.21,0,0,0,0,0,0.69,0,0
 72-82,0,0.49,0.7,3.79,0,0,0,0,0.98,0,0,10.06,0,0,0,0,0,2.06,0,0
 84-94,0,0,0,7.93,0,2.79,0,0,1.44,0,0,9.06,0,0,0,0,0,0,0.78,0
 96-106,0,0,0,2,0,0,1.77,0,1.69,0,0,16.29,0,0,0,0,0,0,0,0
108-118,0,1.11,0,1.9,0,0,0,0,0,0,0,3.14,0,0,3.89,0,0,0,0,0
120,0,0,0,3.42,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,1.23
