stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,34.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.29,57.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.83,0,0,0,0,0,16.26,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,67.72,5.24,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.88,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.26,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.2,0.92,0,0,0,0,0,0,0.97,0,4.86,0,0,0,0,1.15,0,5.22,0,0,45.5,26.12,151.7,0,0.95,0,0,0.92,3.01,0,1116.6,797.1,10.41,0,0,0,0
 24-34,0,0,0,13.35,1.32,0,16.29,359.67,0,0,2.91,0,0,9.64,0,0,0,0,0,11.43,16.35,0,0,142.23,212.66,38.11,2.41,0.79,0,0,11.17,0,0.76,461.55,631.83,17.4,0,1.44,0,0.72
 36-46,0,0,0,4.07,0,0,14.24,713.85,0,1.26,9.69,0,0,0.89,3.75,0,0.71,0,0,6.19,5.2,0,0,36.85,118.16,32.24,0.68,0.6,0,0,4.69,0,0,363.4,28.77,29.34,0,1.7,0,0
 48-58,0,0,0,1.52,0.44,0,50.11,560.08,0.39,0.83,15.34,0,0,0.98,0,0,0,0,0,12.08,10.99,0,0,59.23,195.52,14.54,0,0,0,0,5.72,0.92,0,214.93,0,34.01,0,1.93,0,8
 60-70,0,0,0.57,0.97,0.62,0,97.63,334.8,4.06,0,8.17,0,0,0.61,1.43,0,0,0,0,8.52,9.74,1.02,11.17,36.03,106.41,18.5,0,1.27,1.62,0,2.94,0,0,132.02,0,17.48,0,9.51,0,14.16
 72-82,0,0,0,0.82,9.25,0,58.92,261.49,0,2.49,8.85,0,0,0,0,0,0.59,0.55,4.21,0,23.31,0,0,53.17,97.75,0,0,0.61,0,0,5.94,0,0,59.2,0,8.33,0,0,1.87,24.49
 84-94,0,0,0,10.3,11.69,0,61.25,329.05,0,0,3.97,1.21,0,0,0,0,0.65,0,0.68,0,8.73,1.18,0,46.97,84.19,0,0,0,0,0,9.65,0,0,96.1,0,9.95,0,4.02,1.35,0
 96-106,0,0,0,3.15,18.95,0,89.76,449.8,0,0,14.25,0,0,0.61,1.89,0,0.66,0,25.3,0,54.4,0,1.37,41.94,77.57,4.1,0,2.7,0,3.21,9.82,0,0,107.54,0,1.31,0,4.31,0.64,0
108-118,0,0,0,1.52,2.9,2.47,65.49,474.65,0,0,13.83,0,0,2.89,2.6,0,0.42,0,0.61,2.14,29.63,5.82,0,91.03,100.91,7.97,0,2.63,0,0,12.72,0,1.48,92.57,0,1.73,1.19,1.98,0,8.09
120,0,0,0,2.82,0,0,42.49,278.96,2.35,0,0,1.51,0,10.06,0,3.56,3.17,0,8.88,0,61.27,0,0,81.89,71.34,1.08,0,0,0,0,1.14,5.59,0,33.04,0,7.61,0,0,0,2.33
