stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,255.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0
  5-6,6.23,309.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0
  7-9,12.53,0,14.47,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,194.76,0,0,0,21.77,3.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.92,11.4,0,0,24.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0.88,0.92,0,0,0,0.85,0,0.81,0,0.82,0,0,0,0,2.1,0,0,2.14,52.19,2.16,0.93,0,1.98,0,2.51,0,1.67,9.95,0,0,0,0,0
 24-34,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0.72,0,0,0,0,3.04,0,0,0,60.32,0,0,0,0,1.3,0,0,2.55,3.44,0,0,1.9,0,0
 36-46,0,0,0,3.27,0,6.45,0,0,2.75,0,0,0,0,0,0,0,0,0,4.47,0,0,0.63,107.04,0,1.16,0,0,4.54,0,0.58,0,24.66,0,0,0.68,0,2.12
 48-58,0,0,0,0,0,14.39,0,0.85,4.65,0,0,0,0,0,0,0,0,0,1.86,0,0,0,83.92,0,2.88,0,0,9.7,0,0,0,25.65,0,0,5.93,0,0
 60-70,0,0,0,1.23,0,31.55,0,0,4.26,0,0,0,0,0,0,0,0,0.86,5.47,0,0,0,42.19,1.41,4.64,0,0,10.38,0,0,0,18.96,0,0,4.26,0,0
 72-82,0,0,0,6.23,19.56,10.9,0.81,0,3.42,0,0,1.53,1.52,0,0,0,0,0.87,11.41,0,0,3.83,43.27,0,1.7,0,0,11.12,0,1.23,0,27,0,0.93,4.61,0,0
 84-94,0,0,0,0,12.26,11.58,0,0,7.2,0,0,0.7,0,0,0,0,0,0,5.42,0,1.01,0,35.01,5.65,3.66,5.05,0,22.75,0,0,0,17.76,0,0,5.81,0,3
 96-106,0,0,0,1.48,12.52,25.61,0,0,10.97,0,0,0,0.57,0,0,0,0,1.3,5.13,2.72,0,1.64,48.97,0,3.67,2.65,0,14.44,0,0,0,11.76,0,0,3.16,1.57,2.56
108-118,0,0,0,14.1,10.2,7.03,4.28,0,11.11,0.57,0,0,2.22,0,1.81,0,0,0,6.73,0,0,4.78,74.05,0,4.88,2.28,0,15.49,0,1.03,0,3.52,3.03,0,4.65,0,0.68
120,0,0,0,0,21.19,2.13,3.79,0,11.03,0,0,0,0,0,3.12,1.69,3.84,0,5.92,0,0,0,55.22,0,0,0,0,18.75,0,1.56,0,0,0,0,0,8.46,0
