stage,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,1.06,4.15,0,0,0.96,0.91,0,0
 24-34,0,1.28,0,0,0,4.11,0,1.45,2.62,0,0,0,4.04,0,0
 36-46,0,0.67,3.16,0,0,0.98,0.77,0,3.6,2.11,0.69,0,0,0,0
 48-58,0,0.81,0,0,0,0.92,0,0,0,0,0,0,0,0,0
 60-70,2.8,5.86,0,1.51,0,0,0.89,0,2.26,0,0,0,0,0,0.99
 72-82,0,0,0,0,0,0,0,0.5,5.48,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.68,0,1.99,2.54,0,0,0,0,1.44,0
 96-106,0,1.33,0,0,0.69,0,0,0,6.61,0,2.45,0,2.95,0,0
108-118,0,3.75,0,0,0,0,0,0,4.99,0.57,1.51,0,5.2,0,0
120,0,0,0,5.05,0,0,0,0,0,0,1.59,0,0,0,0
