stage,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,4,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.27,4.19,0,0,0,0
 14-21,0,0.9,0,0,0,0,5.73,0,0,0.85,1.11,1.98
 24-34,0.88,0,0,0,0,0,16.72,0,1.64,0,0,1.75
 36-46,0,0,2.57,0,0.68,3.1,6.75,0,0,0,0,2.59
 48-58,0,0,0.75,5.33,0,0.5,6.71,0,0,0,0,0.44
 60-70,0,0,4.02,0,0,0,9.16,0,0,0,0,0
 72-82,0,0,1.47,1.4,0,4.47,12.34,0,0,0,0,0
 84-94,0,0,0.72,0,0,4.47,14.49,0,0,0,0,0
 96-106,0,0,0.7,0,0,0,0,0,0,0,0,0
108-118,0,0,8.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,17.7,0,0,0,0,0
