stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,0,0,13.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.84,0,0,9.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,8.58,0.81,0,0,0,0,0,3.43,0,0,4.55,0,0,0.86,0
 24-34,0,0,2.21,0,6.53,0.93,0,0,0,0.76,0,1.57,0,0,76.04,0,0,134.45,36.57,0,0,0,0,0,0,1.72,0,15.05,8.25,0,0,0
 36-46,0,0,0,0,0,11.4,0,2.92,0,0,0,0,0,0,135.54,0,0,139.53,28.56,0,0,0,0,0,0,0.72,1.32,2,8.27,0,0,0
 48-58,0,0,0,0,4.85,7.38,0,8.78,0,0,0,0,0,0,189.27,0,0.72,203.8,55.99,0,0,0,0,0,0,0,1.22,0,2.29,0,0,0
 60-70,0,0,0,0,6.39,8.5,0.59,11.34,4.44,0,0,0,0,0,516.46,0,16.84,243.81,11.23,0,5.61,0,1.21,0.78,0,0,4.69,0,0.89,0,1.44,0
 72-82,0,0,1.25,1.32,38.8,19.27,0,6.06,3.23,0,0.59,0.59,0,0,857.75,0,3.42,352.72,56.97,0,5.05,0,0,0,0,0.64,0.65,0,0.77,1.3,1.87,0.52
 84-94,0,0,4.52,0,51.86,5.15,0.62,25.32,3.22,0,0,0,0,0,727.08,0,4.65,312.25,20.74,0,13.9,0,0,0,0,0,6.9,0,3.17,11.78,0,7.65
 96-106,0,0,5.22,0,25.51,3.08,1.52,0,13.81,1.57,0,0,1.51,0,815.78,0,5.19,283.81,35.48,1.05,48.55,0,2.92,0,0,0.7,0.6,0,0.97,0,1.67,21.89
108-118,0,2.69,3.37,0,33.93,0.45,0,2.63,5.14,1.71,0.8,0,0,0.43,934.81,1.15,19.83,204.02,67.09,0,23.32,0,5.15,0,0,0,0.95,0,0,0.45,0,39.19
120,0,0,17.09,0,62.62,1.12,0,14.03,0,5.1,0,0,0,0,525.94,0,2.08,199.78,60.53,0,32.31,0,0,0,0,0,0,0,0,0,0,62.33
