stage,eye,fin.epithelia,fin.mesenchyme,mesenchyme,muscle,neural,otic,spinal.cord
 24-34,0,0,0,1.45,0,0,0,0.76
 36-46,0,0,0,0,2.66,0,0,0
 48-58,0,0,0,0,0,0,0,1.07
 60-70,0,0,0,0,0,1.08,0,0
 72-82,0,0,1.88,0,0,0,0,0
 96-106,0,1.53,0,0,0,0,2.09,0
120,1.21,0,0,0,0,0,0,0
