stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,46.19,1182.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2,0,0,0,0,0,0,0,0,0,0
  5-6,40.61,394.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.38,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,182.77,0,0,0,0,0,0,12.06,0,0,0,0,0,0,0
 14-21,0,0,8.52,11.94,54.65,40.62,0,0.91,0,0,0,0,24.67,0.86,0.89,23.14,0,0,0,1.15,0,49.31,0,0,21.71,36.93,765.06,0,0.89,0,2.05,0.99,1.78,29.27,1.29,204.69,0,0,49.15,0,1.1
 24-34,0,0,6.37,7.07,27.5,26.71,0,0.61,0,0,0,5.23,21.91,1.15,29.86,36.33,1.42,3.48,1.71,9.92,7.63,271.78,0,1.66,149.23,101.59,59.54,1.25,3.57,0,1.56,0,2.53,43.74,0.87,88.61,0,0,278.19,0,13.02
 36-46,0,0,4.4,1.89,2.42,2.01,0,31.74,0,0,4.42,40.02,2.73,0,68.14,7.38,0.62,3.12,0,21.58,95.36,508.1,0,46.96,155.43,112.52,56.19,0,0,0.97,2.69,0,8.52,53.06,0,56.47,0,6.55,109.14,0,0
 48-58,1.15,0,0,5.02,0.85,6.18,0,29.73,1.02,0,11.3,58.37,6.38,0,62.04,11.48,0,12.74,0.38,7.8,42.9,709.48,2.91,0.75,109.82,180.55,34.73,1.25,0.38,0,0,0,0,19.26,0,20.12,0,7.4,67.93,0,4
 60-70,0,0,15.75,5.58,2.34,2.33,0,36.47,0,0,31.41,69.17,71.53,0,69.89,17.18,3.01,12.27,0,23.4,32.14,828.03,0,6.69,40.19,118.47,30.64,0,0,0,0,0,0,7.82,0,9.15,0,49.58,25.45,0,0
 72-82,0,0,155.37,1.81,6.33,4.29,5.94,79.62,2.94,0.78,25.36,123.49,194.5,0,75.59,9.95,3.28,13.6,0,37.75,26.4,1592.83,0,14.03,77.71,228.26,26.93,0,0,0,7.61,0,0,16.05,0,30.46,0,70.04,92.14,4.44,8.97
 84-94,5.55,0,86.19,7.27,12.04,3.53,0,103.77,3.22,0,13.7,116.27,244.73,0.91,76.11,31.79,7.38,57.14,5.44,58.76,33.94,1561.87,0,11.52,51.89,194.64,21.1,2.05,0,0,2.93,0,0,38.62,0,29.43,0,41.54,125.75,0,0
 96-106,0,0,104.34,16.6,20.97,17.91,5.91,89.07,0.6,5.04,13.89,160.95,340.61,0,85.75,33.35,17.5,50.18,0,73.27,9.32,1509.51,2.19,11.72,39.63,250.63,35.36,1.72,0.68,0,20.02,2.49,0,84.33,0,45.37,2.04,106.89,156.99,4.57,36.02
108-118,0,0,69.31,13.29,23.3,11.4,1.49,37.83,0,0,10.44,121.31,274.59,0,51.92,17.36,17.99,69.98,0,109.97,9.29,1479.64,0,16.87,41.81,478.22,26.83,0.48,5.68,1.49,5.81,0.64,0,49.18,0,22.29,0,52.48,162.16,9.21,16.52
120,0,0,58,3.17,20.81,6.8,0,19.36,0,1.84,8.82,128.52,325.75,0,102.22,25.31,13.43,40.69,0,9.13,4.88,996.81,0,4.72,29.63,278.33,19.67,0,0,0,2.03,0,0,29.97,0,23.21,0,77.48,115.92,6.61,0
