stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.8,1277.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,82.4,2049.75,0,0,0,0,0,0,0,0,0,48.65,0,0,0,0,0,0,0,0,0,0,189.05,10.72,0,0,61.55,0,0,0,0,0,0,0,0,0,0
  7-9,12.43,23.37,0,23.84,0,0,37.55,0,0,0,0,21.17,0,0,0,0,0,0,0,0,0,0,535.63,15,0,0,129.42,9.06,0,0,0,0,0,0,0,0,0
 10-12,0,29.64,0,16.6,0,0,21,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,265.42,5.34,0,0,95.51,0,0,0,12.49,0,0,0,0,0,0
 14-21,0,0,0,6.31,74.03,6.29,20.24,0,0,13.02,4.98,0,0,0,5.67,0,0.93,0,44.14,0,0,31.76,333.13,7.04,1.51,5.36,4.6,17.68,1.53,53.34,4.77,52.27,116.5,0,2.59,0,0
 24-34,0,0,0.67,2.78,10.63,9.01,24.82,0,0.63,5.04,1.95,0.67,1.77,1.63,0,0,0.77,0,30.17,0,0,25.37,181.7,3.9,0,2.39,0,45.24,0,0,1.4,4.75,56.2,0,3.47,0,0
 36-46,0,0,0,0,5.9,0.96,20.9,0,0,2.32,0,0,0,5.85,0,0,0,0,21.68,4.88,1.42,10.62,62.9,0,0,0.71,0,52.92,0,0,0,0,12.47,0,3.61,0,1.52
 48-58,0,0,0,0,1.65,0,43.25,0.89,0.67,3.16,0,0,0.69,5.86,0,0,0,0,29.51,0,0,4.87,85.63,8,0.92,0,0,40.85,0,0,0,0,13.21,0,0,0,0
 60-70,0,0,0,0,0.88,0,59.63,0,0,2.36,0,0,0,0,0,0,2.72,0,19.25,0,2.43,7.33,48.11,0,0,0.82,0,12.02,0,0,0,0,18.74,0,0.7,0,11.2
 72-82,0,0,0,0,0,4.79,56.09,0,0,9.78,0,0,0,3.23,0,0,0.76,0.74,25.95,0,3.19,0.8,64.86,0,0,0,0,8.73,0,0,0,0,11.23,0,0,0,0
 84-94,0,0,0,0,4.78,0,23.83,0.97,0.86,0,0,0,0,1.79,0,0,0,0,20.78,0,0.93,13.52,20.92,0.76,0,0,0,43.12,0,0,0,0,0,1.03,0,0,0
 96-106,0,0,0,0,1.69,3.61,70.64,0.57,0,11.97,0,0,0,9.24,1.23,0.85,0.63,0.6,22.95,0,8.08,4.24,25.42,0.58,0.71,2.01,0,17.5,0,0,0,0,5.03,0,2.67,0.64,0
108-118,0,0,0,0,1.85,2.93,52.71,0.42,1.1,3.21,0,0,0,3.65,1.62,2.97,0,0,25.17,0.77,5.95,0.68,40.16,0.81,1.83,0,0,19.62,0,0,0,0,0.45,1.68,0,0,0
120,0,0,0,0,2.59,2.93,11.37,0,0,0,0,0,0,8.41,0,0,0,0,14.68,0,0,3.84,49.14,0,0,11.45,0,19.19,0,0,0,0,0,0,13.37,0,0
