stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,8.48,0,0,0,0,0,0,0,2.03,0,0.95,0,0
 24-34,0,0,0,0.69,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,1.87,13.52,0.6,0,0,0,1.5,0,0,0,0,1.08,0,0
 36-46,0,0,0,3.04,0,0,3.53,0,12.61,8.09,0,0,0,0,0,0,0,0.71,155.88,0,0,11.25,10.79,0,0,0,0,0,0,0,5.59,0,0,0,0
 48-58,0,0,0,5.93,0,0,11.31,0,0,66.14,0.81,0,0,0,0,0,0,0.54,660.29,0,0,54.88,23.88,0,0,0.66,0,0.56,0,0,4.17,0,0,0,4.29
 60-70,0,0,0,0,2.5,0,20.66,0,0,171.09,2.62,0,0,0,0,0,0,0,2085.36,0,0,384.18,46.14,1.83,0.99,0,0,0.87,0,0,5.15,7.78,0.73,0,0
 72-82,0,0,0,6.91,6.24,0,184.09,1.33,17.65,470.42,10.74,0.49,0,0,0,3.74,0,0.49,4938.55,0,3.44,640.35,135.61,0,0.93,1.38,0,0,0,3.02,6.11,6.52,1.1,4.19,6.75
 84-94,0,0,0,34.34,3.05,0,190.34,2.65,19.7,185.59,10.23,1.99,0,1.67,0,6.4,0,2.18,4361.68,1.21,17.57,579.42,74.96,1.95,0,1.03,0,2.12,0,0,0.81,6.67,3.05,1.16,2.4
 96-106,0,0,1.38,27.14,22.42,1.91,192.21,0,91.01,365.44,32.54,3.94,1.98,2.4,0,1.76,0.57,0,6554.36,1.15,6.75,609.25,160.21,0.92,2.68,0,0,11.56,0,0,2.55,16.76,3.29,0.96,3.81
108-118,0,0,0,14.67,0.97,0.68,202.27,0.44,6.47,273.65,21.83,0.61,0,3.94,9.99,0,0,1.43,7459.15,2.3,2.81,583.08,272.25,0,1.88,4.08,6.56,4.57,2.16,0,1.09,47.17,0,8.45,0.91
120,2.82,0,0,7.72,6.99,0,64.08,6.09,12.15,305.29,20.75,0,0,0,0,5.29,3.67,3.24,6157.86,0,0,331.21,142.01,11.22,0,0,0,3.8,0,0,0,3.05,0,0,0
