stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,70.41,1461.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0
  5-6,38.52,837.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.18,0,0,0,12.41,36.65,0,0,0,0,0,0,0,0,0
  7-9,9.7,9.35,0,7.19,0,0,0,18.06,0,0,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,266.83,17.98,0,0,79.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.05,0,20.53,0,0,0,25.37,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,225.58,24.95,0,0,152.17,3.3,0,37.17,0,3.24,0,0,0,0,0
 14-21,0,0,0,0,11.24,1.73,0,0.9,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.31,0,0,4.97,42.4,0,0,0,0,0,7.71,0.83,0,8.49,10.89,0,0,0,0
 24-34,0,0,0,0.81,0.61,0.76,0,8.25,0,0,0,1.23,0,0,0,0,0.81,0,0,0,0,3.51,0,0,0.59,111.57,0,0.83,0,0,0.65,0,0.69,3.34,0,13.45,0,0.69,0,0
 36-46,0,0,0,0,0,0,0,11.86,0,0,1.26,2.62,0,0,1.05,0,0,0,0,0,0,5.34,0,0,1.45,142.59,0,1.22,0,0,2.07,0,0,0,0,14.5,0,0,0,4.86
 48-58,0,0,0,0,0,0,0,19.28,0,0,0,6.07,0,0,0,0,0,0,0,0.39,0,9.96,0,0,1.22,147.77,0,0,0.84,0,2.37,0,0,0,0,27.88,0,0,0,2.31
 60-70,0,0,0,0,0.73,0,0,40.11,0,0,0,6.38,3.09,0,0,0,0,2.01,0,0,0,10.88,0,0.6,0.59,165.31,3.57,0,0,0,0,5.3,0,0,0,27.85,0,0,0,0
 72-82,0,0,0.86,0,1.66,0,0,49.73,0,0,0,8.72,0,0,0,0,0.66,0,0.86,1.73,0,14.37,0,0,0,93.7,0,0.93,0.5,0,0,0,0,0,0,10.18,0,0,0,0
 84-94,0,0,0,0,0.58,0,0,14.07,0,0,0,3.32,3.03,0.91,2.31,0,0.68,0,0.78,0,0,4.56,0,2.07,2.01,65.65,0,0.64,1.86,0,5.12,0,0,0,0,10.19,0,2.97,0,0
 96-106,0,0,0,0,1.75,3.93,2.33,29.23,0,0,0.86,5.75,2.63,0,0,0,0,0,0,0,1.03,8.92,1.61,0,1.18,46.23,2.03,0,0,0,3.47,0,0,0,0,0,0.57,0,0,0
108-118,0,0,0,0,4.05,0,0,23.92,0,0.85,0,2.92,0,0,0,0.78,0,1.3,0.61,0,0,8.84,0.53,0,0.53,64.95,0.51,0,0.41,0,5.24,0,0,0,0,0.47,0,0,1.86,0.82
120,0,0,0,0,1.84,9.88,0,21.7,3.83,1.19,0,0,0,0,10.68,0,0,0,0,0,0,2.07,0,0,1.13,122.9,0,0,0,0,9.19,0,0,0,0,0,0,2.22,4.27,0
