stage,glial,ionocyte,muscle,neural,somites,spinal.cord
 14-21,0,0,0,0,0.81,0
 36-46,2.22,0,0,0,0,0.59
 60-70,0,0,0,2.19,0,1.54
 72-82,0,2.33,0.68,1.37,0,0
