stage,blastomeres,endoderm,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,26.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.36,0,0,0,0,8.73,0,0,0,6.02,0,0,0,0
 10-12,0,7.54,0,0,0,0,0,21.92,0,0,0,23.64,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0
 24-34,0,0,0,0,0.6,0,0,1.74,0,0,0,0,0,0,0.67,0
 36-46,0,0,0,0.94,0,0,0,0,0,0.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0
 60-70,0,0,7.22,0,3.95,0,0,2.36,0,0,0,0,0,0,0,0
 72-82,0,0,38.85,0,12.79,1.27,0,5.01,0,0,0,0,0,0,0,0.51
 84-94,0,0,41.12,0,10.3,1.28,1.48,0.97,0,0,1.5,0,0.71,0,0.98,0
 96-106,0,0,29.22,0,24.02,1.07,0.8,0.8,5.4,0,0,0,0,0,4.77,0
108-118,0,0,38.44,4.37,12.72,11.31,0.68,3.33,5.23,0,0,0,0,0,0,0
120,0,0,49.83,0,36.83,0,0,0,31.92,0,8.85,0,0,0,0,0
