stage,axial,blastomeres,eye,neural,paraxial.mesoderm,periderm,pronephros
  3-4,0,24.2,0,0,0,19.29,0
  5-6,0,87.09,0,0,0,0,0
  7-9,4.07,0,3.77,51.97,13.74,0,0
 10-12,0,0,0,15.02,9.45,0,13.66
