stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,spinal_cord,vasculature,xanthophores
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0
 48-58,0,0,1.15,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.83,0,0,0,0,0,1.84,0,0,0,0,1.05,0
 72-82,0,0,0,0,0,0,1.4,0,0,1.06,0,0,3.25,0,0,0.54,0,1.25,0
 84-94,0.68,0.59,1.61,0,0,1.31,5.23,0,0,0,0,0,10.43,0,0,0,6.73,0.77,0
 96-106,2.93,0,0,2.07,0,0,4.89,0,0.71,4.82,0,0,2.08,0,0.99,10.25,0,5.07,0.68
108-118,0.58,0,3.92,0,3.85,1.36,9.18,0,0,3.38,0.79,1.52,2.89,0.51,0,9.12,1.42,3.32,0
120,0,0,0,1.31,0,1.45,35.75,2.1,0,2.77,0,0,5.34,0,0,19.05,0,0,0
